event_id,customer_id,subscription_id,event_type,event_date,event_value,created_at
81,748,2868,export_data,2023-07-01,36.83,2023-07-01 00:00:00
82,4641,3949,invite,2024-03-13,75.09,2024-03-13 00:00:00
83,2701,2921,profile_update,2023-04-15,0.92,2023-04-15 00:00:00
84,193,3032,profile_update,2024-12-28,20.23,2024-12-28 00:00:00
85,4496,675,feature_usage,2024-01-23,85.95,2024-01-23 00:00:00
86,3275,4757,upload,2024-05-01,43.39,2024-05-01 00:00:00
87,825,3883,login,2024-01-28,17.75,2024-01-28 00:00:00
88,3164,1039,share,2024-11-11,50.91,2024-11-11 00:00:00
89,3377,5794,login,2024-03-23,24.86,2024-03-23 00:00:00
90,347,4464,api_call,2024-02-13,74.55,2024-02-13 00:00:00
91,3883,2406,invite,2024-02-08,20.28,2024-02-08 00:00:00
92,739,2535,download,2023-11-05,77.74,2023-11-05 00:00:00
93,1030,4280,support_ticket,2024-10-05,24.42,2024-10-05 00:00:00
94,4794,4240,support_ticket,2024-06-29,27.89,2024-06-29 00:00:00
95,3662,1855,payment,2024-07-01,5.36,2024-07-01 00:00:00
96,1786,5147,share,2023-09-13,86.36,2023-09-13 00:00:00
97,2539,3816,api_call,2023-11-15,47.05,2023-11-15 00:00:00
98,2820,4840,export_data,2023-10-15,13.35,2023-10-15 00:00:00
99,3137,3033,profile_update,2023-10-06,54.39,2023-10-06 00:00:00
100,4737,1741,support_ticket,2024-02-15,96.15,2024-02-15 00:00:00
101,3343,5775,api_call,2024-12-11,87.39,2024-12-11 00:00:00
102,4448,5857,payment,2023-10-03,8.87,2023-10-03 00:00:00
103,2725,5532,export_data,2024-02-05,52.53,2024-02-05 00:00:00
104,2864,134,invite,2023-12-13,77.29,2023-12-13 00:00:00
105,4252,1422,api_call,2024-03-05,51.12,2024-03-05 00:00:00
106,3333,1070,invite,2024-11-18,58.0,2024-11-18 00:00:00
107,823,3037,api_call,2024-05-27,25.09,2024-05-27 00:00:00
108,2866,3323,api_call,2024-06-17,80.54,2024-06-17 00:00:00
109,353,3145,export_data,2024-01-03,46.94,2024-01-03 00:00:00
110,2155,5016,export_data,2023-09-15,55.65,2023-09-15 00:00:00
111,1471,1932,upload,2024-10-29,46.96,2024-10-29 00:00:00
112,1124,4727,api_call,2024-08-07,18.54,2024-08-07 00:00:00
113,2878,2089,feature_usage,2024-07-16,57.08,2024-07-16 00:00:00
114,2746,1434,feature_usage,2023-11-17,79.65,2023-11-17 00:00:00
115,1481,3449,support_ticket,2023-12-01,72.39,2023-12-01 00:00:00
116,4637,4901,feature_usage,2024-02-28,77.19,2024-02-28 00:00:00
117,2395,4215,api_call,2023-12-22,22.29,2023-12-22 00:00:00
118,2421,583,api_call,2024-01-10,0.1,2024-01-10 00:00:00
119,499,4086,invite,2024-11-22,18.54,2024-11-22 00:00:00
120,2519,3430,export_data,2024-04-07,57.98,2024-04-07 00:00:00
121,4021,3066,profile_update,2023-09-27,36.05,2023-09-27 00:00:00
122,576,3630,share,2024-07-09,27.82,2024-07-09 00:00:00
123,2508,3566,profile_update,2024-10-26,61.29,2024-10-26 00:00:00
124,1526,4045,profile_update,2024-02-06,89.75,2024-02-06 00:00:00
125,2131,4666,feature_usage,2024-01-12,26.13,2024-01-12 00:00:00
126,3186,5952,login,2023-04-15,89.05,2023-04-15 00:00:00
127,4209,3376,invite,2024-01-27,22.47,2024-01-27 00:00:00
128,2273,3494,support_ticket,2023-09-20,50.51,2023-09-20 00:00:00
129,3600,4496,payment,2024-07-30,19.08,2024-07-30 00:00:00
130,4186,982,settings_change,2023-12-24,0.91,2023-12-24 00:00:00
131,1891,2835,settings_change,2024-10-07,81.33,2024-10-07 00:00:00
132,1064,5280,invite,2024-08-09,36.03,2024-08-09 00:00:00
133,3480,2703,invite,2023-04-18,82.83,2023-04-18 00:00:00
134,1045,5963,settings_change,2024-06-28,71.38,2024-06-28 00:00:00
135,2768,4586,support_ticket,2024-03-25,9.24,2024-03-25 00:00:00
136,425,3982,api_call,2024-03-02,79.38,2024-03-02 00:00:00
137,3928,404,profile_update,2023-06-23,41.78,2023-06-23 00:00:00
138,2385,1865,invite,2024-10-07,90.72,2024-10-07 00:00:00
139,3254,5494,invite,2023-07-08,29.22,2023-07-08 00:00:00
140,4817,2191,download,2024-10-19,29.81,2024-10-19 00:00:00
141,245,545,login,2024-05-09,68.52,2024-05-09 00:00:00
142,1666,1128,profile_update,2024-08-27,17.48,2024-08-27 00:00:00
143,3993,3737,settings_change,2023-06-14,17.0,2023-06-14 00:00:00
144,3585,5306,profile_update,2024-04-12,43.94,2024-04-12 00:00:00
145,2564,2710,settings_change,2023-12-03,79.14,2023-12-03 00:00:00
146,2055,5415,invite,2024-02-13,46.68,2024-02-13 00:00:00
147,4900,5314,invite,2024-01-15,20.93,2024-01-15 00:00:00
148,3529,421,download,2024-03-16,24.41,2024-03-16 00:00:00
149,1307,2470,upload,2024-09-14,38.74,2024-09-14 00:00:00
150,664,883,payment,2023-11-03,15.77,2023-11-03 00:00:00
151,1083,4389,support_ticket,2024-08-21,51.41,2024-08-21 00:00:00
152,2691,4269,download,2023-08-03,94.47,2023-08-03 00:00:00
153,1547,5231,upload,2024-04-15,60.87,2024-04-15 00:00:00
154,2594,1033,upload,2024-08-09,78.29,2024-08-09 00:00:00
155,765,1217,payment,2024-08-03,28.13,2024-08-03 00:00:00
156,1136,1950,export_data,2023-10-06,9.03,2023-10-06 00:00:00
157,1511,870,download,2024-12-31,25.41,2024-12-31 00:00:00
158,990,4715,api_call,2023-12-01,22.26,2023-12-01 00:00:00
159,2397,3701,login,2023-07-15,22.87,2023-07-15 00:00:00
160,4447,5033,login,2023-04-17,71.33,2023-04-17 00:00:00
161,3850,4737,feature_usage,2024-09-02,38.82,2024-09-02 00:00:00
162,4771,4000,invite,2023-12-13,43.15,2023-12-13 00:00:00
163,2365,880,profile_update,2023-08-16,27.41,2023-08-16 00:00:00
164,1092,1534,upload,2024-05-16,7.24,2024-05-16 00:00:00
165,3079,619,profile_update,2023-07-01,63.57,2023-07-01 00:00:00
166,3988,89,settings_change,2024-09-26,91.38,2024-09-26 00:00:00
167,1049,2211,invite,2023-06-14,15.23,2023-06-14 00:00:00
168,2275,1724,share,2024-09-20,7.6,2024-09-20 00:00:00
169,1413,1871,export_data,2024-01-04,0.18,2024-01-04 00:00:00
170,4716,1874,profile_update,2024-06-07,42.7,2024-06-07 00:00:00
171,4973,1272,invite,2024-02-04,73.11,2024-02-04 00:00:00
172,1167,289,api_call,2024-04-10,4.38,2024-04-10 00:00:00
173,1682,5575,support_ticket,2023-09-01,86.63,2023-09-01 00:00:00
174,3421,4614,upload,2023-12-16,41.88,2023-12-16 00:00:00
175,4623,2797,export_data,2023-08-18,10.39,2023-08-18 00:00:00
176,3515,2479,settings_change,2023-12-28,66.01,2023-12-28 00:00:00
177,4502,1099,profile_update,2023-09-22,82.93,2023-09-22 00:00:00
178,996,4821,feature_usage,2024-11-18,90.9,2024-11-18 00:00:00
179,4504,2903,invite,2023-05-27,89.12,2023-05-27 00:00:00
180,3756,3505,upload,2023-11-26,27.75,2023-11-26 00:00:00
181,759,1181,invite,2023-02-10,38.89,2023-02-10 00:00:00
182,506,527,profile_update,2024-09-05,54.43,2024-09-05 00:00:00
183,3231,2011,payment,2024-04-03,87.36,2024-04-03 00:00:00
184,1123,2461,support_ticket,2024-01-03,90.92,2024-01-03 00:00:00
185,601,4538,share,2024-04-21,5.6,2024-04-21 00:00:00
186,623,3092,export_data,2023-11-17,27.38,2023-11-17 00:00:00
187,3550,631,profile_update,2024-03-25,57.22,2024-03-25 00:00:00
188,4362,283,upload,2024-02-17,74.25,2024-02-17 00:00:00
189,1325,142,login,2024-12-12,46.09,2024-12-12 00:00:00
190,1153,4465,export_data,2023-09-20,92.5,2023-09-20 00:00:00
191,469,2071,payment,2024-10-02,75.59,2024-10-02 00:00:00
192,4951,335,share,2024-11-04,2.4,2024-11-04 00:00:00
193,151,324,export_data,2023-12-06,65.88,2023-12-06 00:00:00
194,2820,1640,export_data,2024-07-16,93.01,2024-07-16 00:00:00
195,4794,4240,invite,2023-07-28,43.37,2023-07-28 00:00:00
196,702,1469,upload,2023-07-13,54.09,2023-07-13 00:00:00
197,2873,5920,download,2024-03-27,65.71,2024-03-27 00:00:00
198,4445,1245,payment,2023-07-12,76.4,2023-07-12 00:00:00
199,1884,3636,payment,2023-10-26,57.49,2023-10-26 00:00:00
200,1846,5757,share,2024-05-30,25.55,2024-05-30 00:00:00
201,111,3855,support_ticket,2023-07-13,56.29,2023-07-13 00:00:00
202,4250,3835,api_call,2024-12-22,16.58,2024-12-22 00:00:00
203,2519,648,support_ticket,2024-10-07,15.66,2024-10-07 00:00:00
204,2136,2879,profile_update,2024-03-26,95.82,2024-03-26 00:00:00
205,4579,5240,feature_usage,2024-10-05,35.65,2024-10-05 00:00:00
206,2370,3884,support_ticket,2024-11-30,4.76,2024-11-30 00:00:00
207,796,2213,export_data,2024-07-12,35.42,2024-07-12 00:00:00
208,3529,421,payment,2023-10-21,87.29,2023-10-21 00:00:00
209,4186,1558,feature_usage,2023-08-01,97.22,2023-08-01 00:00:00
210,1747,2447,invite,2023-12-18,60.73,2023-12-18 00:00:00
211,4030,792,share,2023-11-09,96.49,2023-11-09 00:00:00
212,3238,2350,login,2024-04-18,47.72,2024-04-18 00:00:00
213,1447,1608,api_call,2023-12-26,13.59,2023-12-26 00:00:00
214,4743,2359,settings_change,2024-09-27,6.34,2024-09-27 00:00:00
215,4016,733,upload,2024-10-07,23.86,2024-10-07 00:00:00
216,2345,75,api_call,2024-02-29,75.04,2024-02-29 00:00:00
217,1886,5454,login,2024-07-10,74.19,2024-07-10 00:00:00
218,3937,560,payment,2023-04-20,25.06,2023-04-20 00:00:00
219,3144,2621,support_ticket,2024-03-18,78.83,2024-03-18 00:00:00
220,354,1897,profile_update,2023-11-26,23.04,2023-11-26 00:00:00
221,4759,911,upload,2024-02-26,4.73,2024-02-26 00:00:00
222,324,540,download,2024-11-13,48.18,2024-11-13 00:00:00
223,3557,5635,share,2024-03-20,25.69,2024-03-20 00:00:00
224,3765,4013,settings_change,2024-09-20,59.19,2024-09-20 00:00:00
225,1315,3670,api_call,2023-11-07,56.21,2023-11-07 00:00:00
226,4716,1874,api_call,2024-06-30,52.45,2024-06-30 00:00:00
227,2385,4471,download,2024-03-18,98.53,2024-03-18 00:00:00
228,4245,4356,invite,2024-10-05,64.06,2024-10-05 00:00:00
229,3500,267,upload,2024-01-30,55.66,2024-01-30 00:00:00
230,4716,3656,download,2024-01-20,82.95,2024-01-20 00:00:00
231,3660,4604,export_data,2024-08-24,4.68,2024-08-24 00:00:00
232,574,3767,login,2024-02-07,33.27,2024-02-07 00:00:00
233,4612,1214,upload,2023-02-08,93.74,2023-02-08 00:00:00
234,510,1248,payment,2024-08-10,66.08,2024-08-10 00:00:00
235,504,5985,settings_change,2024-06-03,2.77,2024-06-03 00:00:00
236,1430,2812,feature_usage,2024-04-25,55.71,2024-04-25 00:00:00
237,380,5767,payment,2024-04-29,48.82,2024-04-29 00:00:00
238,4581,1166,login,2023-07-27,61.43,2023-07-27 00:00:00
239,4148,4835,upload,2024-08-14,28.89,2024-08-14 00:00:00
240,129,4546,settings_change,2024-07-11,69.09,2024-07-11 00:00:00
241,4285,5054,api_call,2023-11-07,7.17,2023-11-07 00:00:00
242,2327,5915,payment,2023-10-11,93.97,2023-10-11 00:00:00
243,1990,1727,login,2023-03-19,20.04,2023-03-19 00:00:00
244,4751,5388,share,2024-03-28,39.45,2024-03-28 00:00:00
245,4813,2818,api_call,2024-10-21,27.7,2024-10-21 00:00:00
246,22,2314,invite,2024-10-16,32.96,2024-10-16 00:00:00
247,1983,1674,download,2024-08-16,47.89,2024-08-16 00:00:00
248,427,4628,settings_change,2024-04-19,37.84,2024-04-19 00:00:00
249,3362,3850,login,2024-02-20,44.25,2024-02-20 00:00:00
250,4863,363,invite,2024-01-13,37.84,2024-01-13 00:00:00
251,4073,4263,upload,2023-09-03,85.12,2023-09-03 00:00:00
252,851,95,upload,2024-07-22,10.35,2024-07-22 00:00:00
253,4529,3353,profile_update,2023-10-05,10.56,2023-10-05 00:00:00
254,3370,3053,download,2023-03-09,43.64,2023-03-09 00:00:00
255,1136,1950,profile_update,2024-02-16,63.94,2024-02-16 00:00:00
256,504,5985,support_ticket,2024-06-14,79.05,2024-06-14 00:00:00
257,931,4924,settings_change,2024-10-29,62.51,2024-10-29 00:00:00
258,1452,3913,upload,2023-05-16,21.59,2023-05-16 00:00:00
259,4183,2901,share,2023-12-17,11.7,2023-12-17 00:00:00
260,2453,3223,support_ticket,2023-04-28,39.59,2023-04-28 00:00:00
261,295,4509,payment,2024-01-18,97.43,2024-01-18 00:00:00
262,1438,3668,support_ticket,2024-04-15,68.99,2024-04-15 00:00:00
263,1189,4081,invite,2023-07-17,56.06,2023-07-17 00:00:00
264,3401,5387,login,2024-11-16,21.7,2024-11-16 00:00:00
265,3098,3431,invite,2023-08-13,19.63,2023-08-13 00:00:00
266,3259,5773,profile_update,2023-10-29,6.95,2023-10-29 00:00:00
267,974,4103,support_ticket,2024-05-26,26.16,2024-05-26 00:00:00
268,3418,5265,feature_usage,2024-01-08,24.85,2024-01-08 00:00:00
269,785,4297,payment,2023-11-05,38.55,2023-11-05 00:00:00
270,1670,1997,support_ticket,2024-01-22,60.98,2024-01-22 00:00:00
271,2714,4958,download,2024-10-13,75.59,2024-10-13 00:00:00
272,2778,5304,login,2023-03-14,20.92,2023-03-14 00:00:00
273,273,5738,share,2024-11-03,24.03,2024-11-03 00:00:00
274,175,3187,support_ticket,2024-02-22,74.05,2024-02-22 00:00:00
275,2996,1274,login,2024-01-19,52.19,2024-01-19 00:00:00
276,153,1309,share,2024-12-07,18.82,2024-12-07 00:00:00
277,4593,4225,profile_update,2024-08-21,83.67,2024-08-21 00:00:00
278,1417,3762,upload,2023-09-09,70.48,2023-09-09 00:00:00
279,1779,113,feature_usage,2023-11-15,8.41,2023-11-15 00:00:00
280,3064,766,settings_change,2024-11-03,48.88,2024-11-03 00:00:00
281,3711,3746,payment,2024-02-25,97.83,2024-02-25 00:00:00
282,4505,3555,api_call,2024-01-15,48.94,2024-01-15 00:00:00
283,672,1537,export_data,2024-10-11,44.95,2024-10-11 00:00:00
284,517,503,login,2023-09-10,27.55,2023-09-10 00:00:00
285,1624,3872,settings_change,2024-09-20,3.99,2024-09-20 00:00:00
286,1165,4139,payment,2024-07-24,53.4,2024-07-24 00:00:00
287,3939,3892,share,2024-05-15,82.29,2024-05-15 00:00:00
288,4128,1765,share,2024-04-13,57.5,2024-04-13 00:00:00
289,1285,2439,download,2024-08-12,60.96,2024-08-12 00:00:00
290,956,2274,login,2023-06-27,66.33,2023-06-27 00:00:00
291,2146,2240,login,2024-01-17,34.31,2024-01-17 00:00:00
292,2781,3896,invite,2023-11-07,54.14,2023-11-07 00:00:00
293,3281,5582,login,2023-11-14,51.89,2023-11-14 00:00:00
294,1200,441,login,2024-09-02,29.33,2024-09-02 00:00:00
295,977,3064,api_call,2024-03-08,67.44,2024-03-08 00:00:00
296,686,682,invite,2024-07-01,62.49,2024-07-01 00:00:00
297,2831,2575,download,2023-03-22,3.17,2023-03-22 00:00:00
298,1571,5887,feature_usage,2023-11-13,89.78,2023-11-13 00:00:00
299,3685,1136,export_data,2024-07-03,79.3,2024-07-03 00:00:00
300,4358,2999,export_data,2023-10-23,45.39,2023-10-23 00:00:00
301,4619,4866,export_data,2023-07-06,71.89,2023-07-06 00:00:00
302,2005,4836,settings_change,2024-09-23,10.09,2024-09-23 00:00:00
303,1269,3241,profile_update,2024-02-10,46.26,2024-02-10 00:00:00
304,4134,1810,invite,2024-01-22,24.72,2024-01-22 00:00:00
305,2457,605,feature_usage,2024-12-02,11.87,2024-12-02 00:00:00
306,4553,5708,profile_update,2023-12-22,85.9,2023-12-22 00:00:00
307,4147,3536,profile_update,2024-05-08,91.72,2024-05-08 00:00:00
308,16,5099,payment,2024-08-23,93.3,2024-08-23 00:00:00
309,3020,674,support_ticket,2023-07-18,38.5,2023-07-18 00:00:00
310,3776,2367,api_call,2024-02-19,15.98,2024-02-19 00:00:00
311,1284,543,profile_update,2023-04-30,96.88,2023-04-30 00:00:00
312,4131,5055,settings_change,2024-11-28,84.01,2024-11-28 00:00:00
313,4061,3780,payment,2024-03-29,75.81,2024-03-29 00:00:00
314,3651,1882,export_data,2024-10-02,84.79,2024-10-02 00:00:00
315,4502,1099,share,2023-12-10,91.18,2023-12-10 00:00:00
316,4681,327,upload,2024-02-23,57.75,2024-02-23 00:00:00
317,3284,3229,settings_change,2024-08-18,6.4,2024-08-18 00:00:00
318,2271,2844,invite,2024-12-13,2.58,2024-12-13 00:00:00
319,4926,4459,feature_usage,2024-05-12,71.9,2024-05-12 00:00:00
320,1292,1566,export_data,2024-01-08,99.94,2024-01-08 00:00:00
321,3076,3798,share,2024-02-07,19.33,2024-02-07 00:00:00
322,2856,3389,login,2023-09-16,70.62,2023-09-16 00:00:00
323,907,3870,download,2024-01-20,45.57,2024-01-20 00:00:00
324,4642,4967,download,2024-08-22,12.4,2024-08-22 00:00:00
325,4278,750,share,2024-01-27,56.55,2024-01-27 00:00:00
326,1271,130,login,2024-08-28,49.3,2024-08-28 00:00:00
327,2958,5849,invite,2024-01-11,75.14,2024-01-11 00:00:00
328,2918,4507,upload,2024-04-09,54.74,2024-04-09 00:00:00
329,3051,1086,upload,2024-02-13,74.97,2024-02-13 00:00:00
330,1969,225,login,2023-12-22,5.91,2023-12-22 00:00:00
331,684,5472,login,2024-03-02,78.43,2024-03-02 00:00:00
332,3212,2363,invite,2024-07-02,4.51,2024-07-02 00:00:00
333,3274,5106,feature_usage,2023-12-25,5.09,2023-12-25 00:00:00
334,1699,4494,upload,2023-11-25,96.9,2023-11-25 00:00:00
335,3643,4127,payment,2023-05-20,76.87,2023-05-20 00:00:00
336,4572,5493,payment,2024-11-13,15.89,2024-11-13 00:00:00
337,2746,3375,profile_update,2024-06-16,74.06,2024-06-16 00:00:00
338,2364,725,api_call,2023-09-14,56.18,2023-09-14 00:00:00
339,936,5581,api_call,2024-03-18,79.2,2024-03-18 00:00:00
340,2279,5062,payment,2023-12-02,92.39,2023-12-02 00:00:00
341,2744,5013,upload,2024-11-04,25.86,2024-11-04 00:00:00
342,191,3203,api_call,2024-07-29,48.54,2024-07-29 00:00:00
343,3550,631,settings_change,2024-12-21,14.92,2024-12-21 00:00:00
344,4569,5145,feature_usage,2024-08-08,79.7,2024-08-08 00:00:00
345,564,2587,payment,2024-12-27,68.97,2024-12-27 00:00:00
346,2487,1899,invite,2024-09-01,63.11,2024-09-01 00:00:00
347,2225,5769,upload,2024-05-28,44.54,2024-05-28 00:00:00
348,3210,2602,profile_update,2024-02-18,90.13,2024-02-18 00:00:00
349,633,875,profile_update,2024-08-29,70.22,2024-08-29 00:00:00
350,235,3952,export_data,2023-11-01,48.43,2023-11-01 00:00:00
351,4733,3647,login,2023-10-29,83.95,2023-10-29 00:00:00
352,1585,5101,download,2024-06-20,97.39,2024-06-20 00:00:00
353,1315,1140,api_call,2024-09-01,14.29,2024-09-01 00:00:00
354,1999,5633,invite,2023-09-09,69.32,2023-09-09 00:00:00
355,2187,4085,payment,2023-06-14,12.04,2023-06-14 00:00:00
356,2386,2331,download,2024-06-15,71.47,2024-06-15 00:00:00
357,2816,3399,export_data,2023-01-17,10.68,2023-01-17 00:00:00
358,1330,1271,download,2023-09-05,70.06,2023-09-05 00:00:00
359,3487,204,login,2023-11-25,96.3,2023-11-25 00:00:00
360,2546,4776,share,2023-10-24,37.7,2023-10-24 00:00:00
361,4858,3044,login,2023-12-30,29.35,2023-12-30 00:00:00
362,4666,69,feature_usage,2023-12-18,40.9,2023-12-18 00:00:00
363,1862,1206,payment,2024-06-21,46.48,2024-06-21 00:00:00
364,747,4981,payment,2023-12-02,77.64,2023-12-02 00:00:00
365,258,5507,payment,2023-11-10,11.05,2023-11-10 00:00:00
366,3398,1171,payment,2023-11-13,57.57,2023-11-13 00:00:00
367,744,416,api_call,2024-09-06,68.85,2024-09-06 00:00:00
368,1783,91,payment,2023-12-03,43.0,2023-12-03 00:00:00
369,3275,3373,share,2024-12-31,0.93,2024-12-31 00:00:00
370,4080,3204,upload,2024-12-31,17.84,2024-12-31 00:00:00
371,4510,771,payment,2024-11-15,15.73,2024-11-15 00:00:00
372,3275,3453,settings_change,2024-12-19,91.68,2024-12-19 00:00:00
373,4427,4880,upload,2024-12-21,21.07,2024-12-21 00:00:00
374,4173,4961,export_data,2024-08-06,10.07,2024-08-06 00:00:00
375,2998,442,api_call,2024-11-21,40.72,2024-11-21 00:00:00
376,97,6,support_ticket,2024-08-10,93.29,2024-08-10 00:00:00
377,2082,4134,payment,2023-11-20,3.46,2023-11-20 00:00:00
378,4816,4850,share,2024-09-08,31.2,2024-09-08 00:00:00
379,2721,151,invite,2024-01-23,64.03,2024-01-23 00:00:00
380,1852,1362,settings_change,2023-05-21,6.67,2023-05-21 00:00:00
381,3115,665,upload,2023-12-27,99.56,2023-12-27 00:00:00
382,1033,2384,payment,2023-11-09,12.61,2023-11-09 00:00:00
383,4803,5006,login,2024-04-02,82.62,2024-04-02 00:00:00
384,4399,5214,payment,2024-03-21,98.88,2024-03-21 00:00:00
385,2879,2397,support_ticket,2024-11-05,98.11,2024-11-05 00:00:00
386,2561,2867,export_data,2023-09-24,20.42,2023-09-24 00:00:00
387,3186,5952,invite,2023-05-03,69.37,2023-05-03 00:00:00
388,1387,4415,share,2024-03-14,71.0,2024-03-14 00:00:00
389,4448,5857,login,2024-05-01,66.31,2024-05-01 00:00:00
390,3431,2100,invite,2023-09-07,91.03,2023-09-07 00:00:00
391,183,1598,upload,2024-04-06,2.95,2024-04-06 00:00:00
392,247,4435,download,2024-08-18,9.36,2024-08-18 00:00:00
393,3553,1300,support_ticket,2023-11-10,79.3,2023-11-10 00:00:00
394,603,3631,api_call,2023-05-21,43.2,2023-05-21 00:00:00
395,690,433,invite,2023-11-08,40.59,2023-11-08 00:00:00
