subscription_id,customer_id,plan_id,plan_name,mrr,start_date,end_date,status,billing_period,created_at
37,2482,3,Premium,49.99,2023-01-17,,active,monthly,2023-01-17 00:00:00
38,4964,4,Enterprise,99.99,2023-09-29,,active,annual,2023-09-29 00:00:00
39,3320,4,Enterprise,99.99,2023-07-28,2023-09-26,churned,monthly,2023-07-28 00:00:00
40,4800,4,Enterprise,99.99,2023-01-30,2023-06-29,churned,monthly,2023-01-30 00:00:00
41,4375,2,Standard,19.99,2023-03-24,,active,monthly,2023-03-24 00:00:00
42,1529,1,Basic,9.99,2023-11-25,,active,monthly,2023-11-25 00:00:00
43,464,4,Enterprise,99.99,2023-08-13,2023-12-11,churned,monthly,2023-08-13 00:00:00
44,1085,2,Standard,19.99,2023-11-12,,active,annual,2023-11-12 00:00:00
45,4888,4,Enterprise,99.99,2023-04-16,,active,annual,2023-04-16 00:00:00
46,4735,4,Enterprise,99.99,2023-02-03,,active,annual,2023-02-03 00:00:00
47,1069,1,Basic,9.99,2023-07-30,2023-08-29,churned,monthly,2023-07-30 00:00:00
48,1214,2,Standard,19.99,2023-04-02,,active,annual,2023-04-02 00:00:00
49,1330,1,Basic,9.99,2023-06-28,,active,monthly,2023-06-28 00:00:00
50,1896,4,Enterprise,99.99,2023-07-28,2023-08-27,churned,annual,2023-07-28 00:00:00
51,3098,3,Premium,49.99,2023-04-27,,active,annual,2023-04-27 00:00:00
52,1975,2,Standard,19.99,2023-11-27,2024-09-22,churned,annual,2023-11-27 00:00:00
53,4731,3,Premium,49.99,2023-07-04,,active,annual,2023-07-04 00:00:00
54,3415,4,Enterprise,99.99,2023-04-10,,active,annual,2023-04-10 00:00:00
55,348,1,Basic,9.99,2023-03-10,,active,annual,2023-03-10 00:00:00
56,837,2,Standard,19.99,2023-10-22,2024-05-19,churned,monthly,2023-10-22 00:00:00
57,2240,2,Standard,19.99,2023-06-07,,active,annual,2023-06-07 00:00:00
58,3992,2,Standard,19.99,2023-08-12,,active,annual,2023-08-12 00:00:00
59,372,3,Premium,49.99,2023-05-14,2024-04-08,churned,monthly,2023-05-14 00:00:00
60,2214,3,Premium,49.99,2023-04-19,,active,annual,2023-04-19 00:00:00
61,3737,1,Basic,9.99,2023-11-20,,active,annual,2023-11-20 00:00:00
62,4475,2,Standard,19.99,2023-05-31,,active,annual,2023-05-31 00:00:00
63,4570,3,Premium,49.99,2023-07-15,,active,monthly,2023-07-15 00:00:00
64,2320,4,Enterprise,99.99,2023-03-30,,active,annual,2023-03-30 00:00:00
65,4213,2,Standard,19.99,2024-01-01,,active,monthly,2024-01-01 00:00:00
66,3907,1,Basic,9.99,2023-10-20,2023-11-19,churned,annual,2023-10-20 00:00:00
67,3297,1,Basic,9.99,2023-01-13,,active,monthly,2023-01-13 00:00:00
68,4430,1,Basic,9.99,2023-06-01,,active,monthly,2023-06-01 00:00:00
69,4666,4,Enterprise,99.99,2023-05-27,,active,monthly,2023-05-27 00:00:00
70,2763,3,Premium,49.99,2023-02-06,,active,annual,2023-02-06 00:00:00
71,3007,1,Basic,9.99,2023-10-14,2024-01-12,churned,annual,2023-10-14 00:00:00
72,1234,4,Enterprise,99.99,2024-01-13,,active,monthly,2024-01-13 00:00:00
73,1858,1,Basic,9.99,2023-02-14,,active,monthly,2023-02-14 00:00:00
74,4382,4,Enterprise,99.99,2023-09-16,2023-11-15,churned,monthly,2023-09-16 00:00:00
75,2345,4,Enterprise,99.99,2023-10-26,,active,annual,2023-10-26 00:00:00
76,767,3,Premium,49.99,2023-11-01,,active,annual,2023-11-01 00:00:00
77,4574,1,Basic,9.99,2023-12-21,,active,monthly,2023-12-21 00:00:00
78,3386,1,Basic,9.99,2023-05-04,,active,monthly,2023-05-04 00:00:00
79,1870,1,Basic,9.99,2023-06-27,,active,annual,2023-06-27 00:00:00
80,1996,4,Enterprise,99.99,2023-05-25,,active,monthly,2023-05-25 00:00:00
81,67,1,Basic,9.99,2023-04-08,,active,annual,2023-04-08 00:00:00
82,3305,3,Premium,49.99,2023-03-22,,active,annual,2023-03-22 00:00:00
83,4270,1,Basic,9.99,2023-06-24,,active,monthly,2023-06-24 00:00:00
84,3056,2,Standard,19.99,2023-05-22,,active,monthly,2023-05-22 00:00:00
85,2244,1,Basic,9.99,2023-04-08,,active,annual,2023-04-08 00:00:00
86,1724,4,Enterprise,99.99,2023-08-13,2024-08-07,churned,monthly,2023-08-13 00:00:00
87,1208,3,Premium,49.99,2023-03-28,2023-09-24,churned,annual,2023-03-28 00:00:00
88,3169,4,Enterprise,99.99,2023-07-07,2024-06-01,churned,annual,2023-07-07 00:00:00
89,3988,2,Standard,19.99,2023-06-20,,active,annual,2023-06-20 00:00:00
90,1172,4,Enterprise,99.99,2023-04-21,,active,annual,2023-04-21 00:00:00
91,1783,4,Enterprise,99.99,2023-10-12,,active,monthly,2023-10-12 00:00:00
92,1410,4,Enterprise,99.99,2023-05-06,,active,annual,2023-05-06 00:00:00
93,4992,4,Enterprise,99.99,2023-04-10,,active,monthly,2023-04-10 00:00:00
94,3127,3,Premium,49.99,2023-05-03,,active,annual,2023-05-03 00:00:00
95,851,4,Enterprise,99.99,2023-11-25,,active,monthly,2023-11-25 00:00:00
96,1962,1,Basic,9.99,2023-08-01,,active,monthly,2023-08-01 00:00:00
97,4339,3,Premium,49.99,2023-02-27,,active,monthly,2023-02-27 00:00:00
98,4222,2,Standard,19.99,2023-03-10,,active,annual,2023-03-10 00:00:00
99,100,1,Basic,9.99,2023-01-31,,active,monthly,2023-01-31 00:00:00
100,2573,1,Basic,9.99,2023-09-27,2023-10-27,churned,annual,2023-09-27 00:00:00
101,112,2,Standard,19.99,2023-10-09,2024-10-03,churned,annual,2023-10-09 00:00:00
102,2524,4,Enterprise,99.99,2023-12-02,,active,annual,2023-12-02 00:00:00
103,2833,4,Enterprise,99.99,2023-04-27,,active,annual,2023-04-27 00:00:00
104,58,2,Standard,19.99,2023-08-11,,active,annual,2023-08-11 00:00:00
105,3634,1,Basic,9.99,2023-04-10,,active,annual,2023-04-10 00:00:00
106,4496,2,Standard,19.99,2023-07-03,,active,monthly,2023-07-03 00:00:00
107,2183,1,Basic,9.99,2023-04-25,,active,monthly,2023-04-25 00:00:00
108,3017,4,Enterprise,99.99,2024-01-05,,active,annual,2024-01-05 00:00:00
109,1388,2,Standard,19.99,2023-03-31,,active,monthly,2023-03-31 00:00:00
110,1355,1,Basic,9.99,2023-04-21,,active,monthly,2023-04-21 00:00:00
111,1583,1,Basic,9.99,2023-02-15,,active,monthly,2023-02-15 00:00:00
112,1662,2,Standard,19.99,2023-04-22,,active,monthly,2023-04-22 00:00:00
113,1779,1,Basic,9.99,2023-10-31,,active,monthly,2023-10-31 00:00:00
114,981,4,Enterprise,99.99,2023-10-31,,active,annual,2023-10-31 00:00:00
115,2115,1,Basic,9.99,2023-10-16,,active,annual,2023-10-16 00:00:00
116,3160,4,Enterprise,99.99,2023-03-12,2023-10-08,churned,annual,2023-03-12 00:00:00
117,269,1,Basic,9.99,2023-06-15,,active,monthly,2023-06-15 00:00:00
118,4431,4,Enterprise,99.99,2023-03-17,,active,annual,2023-03-17 00:00:00
119,4214,4,Enterprise,99.99,2023-11-02,,active,monthly,2023-11-02 00:00:00
120,2863,4,Enterprise,99.99,2023-03-07,,active,annual,2023-03-07 00:00:00
121,1841,4,Enterprise,99.99,2023-09-27,,active,annual,2023-09-27 00:00:00
122,3682,1,Basic,9.99,2023-01-24,,active,monthly,2023-01-24 00:00:00
123,2311,1,Basic,9.99,2023-02-05,,active,monthly,2023-02-05 00:00:00
124,2945,4,Enterprise,99.99,2023-12-08,,active,monthly,2023-12-08 00:00:00
125,4584,4,Enterprise,99.99,2023-06-07,,active,annual,2023-06-07 00:00:00
126,3921,2,Standard,19.99,2023-12-21,,active,monthly,2023-12-21 00:00:00
127,761,2,Standard,19.99,2023-10-18,,active,monthly,2023-10-18 00:00:00
128,3564,4,Enterprise,99.99,2023-12-23,,active,annual,2023-12-23 00:00:00
129,3119,3,Premium,49.99,2023-04-19,,active,monthly,2023-04-19 00:00:00
130,1271,3,Premium,49.99,2023-12-20,2024-09-15,churned,annual,2023-12-20 00:00:00
131,832,2,Standard,19.99,2023-12-29,,active,monthly,2023-12-29 00:00:00
132,575,1,Basic,9.99,2023-07-08,,active,annual,2023-07-08 00:00:00
133,3586,1,Basic,9.99,2023-06-16,2023-08-15,churned,monthly,2023-06-16 00:00:00
134,2864,4,Enterprise,99.99,2023-06-25,2024-01-21,churned,monthly,2023-06-25 00:00:00
135,3930,4,Enterprise,99.99,2023-02-24,,active,monthly,2023-02-24 00:00:00
136,2041,3,Premium,49.99,2024-01-01,,active,annual,2024-01-01 00:00:00
137,2881,2,Standard,19.99,2023-04-03,,active,monthly,2023-04-03 00:00:00
138,4286,1,Basic,9.99,2023-07-29,2024-07-23,churned,monthly,2023-07-29 00:00:00
139,2865,4,Enterprise,99.99,2023-02-16,,active,annual,2023-02-16 00:00:00
140,488,1,Basic,9.99,2023-09-10,,active,annual,2023-09-10 00:00:00
141,1674,1,Basic,9.99,2023-02-15,,active,annual,2023-02-15 00:00:00
142,1325,4,Enterprise,99.99,2023-10-06,,active,monthly,2023-10-06 00:00:00
143,2434,1,Basic,9.99,2023-06-16,,active,annual,2023-06-16 00:00:00
144,3713,4,Enterprise,99.99,2024-01-10,,active,monthly,2024-01-10 00:00:00
145,1516,2,Standard,19.99,2023-07-21,2023-09-19,churned,monthly,2023-07-21 00:00:00
146,74,2,Standard,19.99,2023-07-07,,active,annual,2023-07-07 00:00:00
147,3639,3,Premium,49.99,2023-05-26,2024-04-20,churned,monthly,2023-05-26 00:00:00
148,3140,4,Enterprise,99.99,2023-07-07,,active,monthly,2023-07-07 00:00:00
149,1149,2,Standard,19.99,2023-10-22,,active,annual,2023-10-22 00:00:00
150,4585,1,Basic,9.99,2023-05-27,2023-06-26,churned,monthly,2023-05-27 00:00:00
151,2721,3,Premium,49.99,2023-12-18,,active,annual,2023-12-18 00:00:00
152,3882,2,Standard,19.99,2023-08-23,,active,annual,2023-08-23 00:00:00
153,928,2,Standard,19.99,2023-08-29,,active,annual,2023-08-29 00:00:00
154,1612,4,Enterprise,99.99,2023-10-08,2024-05-05,churned,monthly,2023-10-08 00:00:00
155,4319,2,Standard,19.99,2023-09-14,2024-06-10,churned,monthly,2023-09-14 00:00:00
156,2866,1,Basic,9.99,2023-11-24,,active,monthly,2023-11-24 00:00:00
157,794,2,Standard,19.99,2023-06-27,,active,annual,2023-06-27 00:00:00
158,2299,3,Premium,49.99,2023-11-20,2024-04-18,churned,annual,2023-11-20 00:00:00
159,3149,1,Basic,9.99,2023-07-08,,active,annual,2023-07-08 00:00:00
160,1455,4,Enterprise,99.99,2023-06-19,2024-06-13,churned,annual,2023-06-19 00:00:00
161,351,4,Enterprise,99.99,2023-08-05,,active,monthly,2023-08-05 00:00:00
162,1612,2,Standard,19.99,2023-10-17,,active,annual,2023-10-17 00:00:00
163,4004,2,Standard,19.99,2023-12-08,,active,annual,2023-12-08 00:00:00
164,1622,4,Enterprise,99.99,2023-03-27,2024-01-21,churned,monthly,2023-03-27 00:00:00
165,1928,4,Enterprise,99.99,2023-05-25,,active,monthly,2023-05-25 00:00:00
166,180,1,Basic,9.99,2023-10-15,,active,annual,2023-10-15 00:00:00
167,3242,4,Enterprise,99.99,2023-02-13,,active,annual,2023-02-13 00:00:00
168,3223,3,Premium,49.99,2023-05-22,,active,annual,2023-05-22 00:00:00
169,4114,3,Premium,49.99,2023-12-03,,active,annual,2023-12-03 00:00:00
170,1408,4,Enterprise,99.99,2023-06-20,,active,monthly,2023-06-20 00:00:00
171,3605,4,Enterprise,99.99,2023-10-30,2024-06-26,churned,annual,2023-10-30 00:00:00
172,1702,1,Basic,9.99,2023-12-25,,active,annual,2023-12-25 00:00:00
173,3897,3,Premium,49.99,2023-07-07,,active,annual,2023-07-07 00:00:00
174,4349,3,Premium,49.99,2024-01-01,2024-04-30,churned,annual,2024-01-01 00:00:00
175,3959,3,Premium,49.99,2023-11-14,,active,annual,2023-11-14 00:00:00
176,4264,3,Premium,49.99,2023-05-18,,active,monthly,2023-05-18 00:00:00
177,1503,2,Standard,19.99,2023-10-31,,active,annual,2023-10-31 00:00:00
178,1575,2,Standard,19.99,2023-08-13,,active,annual,2023-08-13 00:00:00
179,1307,2,Standard,19.99,2023-12-30,,active,monthly,2023-12-30 00:00:00
180,2863,1,Basic,9.99,2023-03-08,,active,annual,2023-03-08 00:00:00
181,1447,2,Standard,19.99,2023-04-15,,active,annual,2023-04-15 00:00:00
182,110,2,Standard,19.99,2023-12-04,,active,annual,2023-12-04 00:00:00
183,3245,3,Premium,49.99,2023-10-02,,active,annual,2023-10-02 00:00:00
184,2670,4,Enterprise,99.99,2023-07-20,,active,annual,2023-07-20 00:00:00
185,1637,1,Basic,9.99,2023-05-26,2023-12-22,churned,annual,2023-05-26 00:00:00
186,2753,1,Basic,9.99,2023-06-30,2023-11-27,churned,annual,2023-06-30 00:00:00
187,4234,4,Enterprise,99.99,2023-12-24,,active,annual,2023-12-24 00:00:00
188,3496,4,Enterprise,99.99,2023-11-11,,active,annual,2023-11-11 00:00:00
189,3163,4,Enterprise,99.99,2023-08-30,2024-03-27,churned,annual,2023-08-30 00:00:00
190,613,3,Premium,49.99,2023-04-29,2023-06-28,churned,annual,2023-04-29 00:00:00
191,2323,1,Basic,9.99,2023-11-25,,active,annual,2023-11-25 00:00:00
192,3390,1,Basic,9.99,2023-03-19,,active,monthly,2023-03-19 00:00:00
193,1427,1,Basic,9.99,2023-02-01,,active,annual,2023-02-01 00:00:00
194,2963,2,Standard,19.99,2023-10-24,,active,monthly,2023-10-24 00:00:00
195,1096,1,Basic,9.99,2023-10-15,,active,annual,2023-10-15 00:00:00
196,4101,3,Premium,49.99,2023-08-04,2023-12-02,churned,annual,2023-08-04 00:00:00
197,2371,3,Premium,49.99,2023-02-18,2023-03-20,churned,annual,2023-02-18 00:00:00
198,407,2,Standard,19.99,2023-09-14,,active,annual,2023-09-14 00:00:00
199,3010,2,Standard,19.99,2023-12-11,,active,monthly,2023-12-11 00:00:00
200,3549,1,Basic,9.99,2023-10-25,,active,annual,2023-10-25 00:00:00
201,1709,4,Enterprise,99.99,2023-04-09,2023-11-05,churned,monthly,2023-04-09 00:00:00
202,839,2,Standard,19.99,2023-11-01,,active,monthly,2023-11-01 00:00:00
203,1620,2,Standard,19.99,2023-04-24,2023-08-22,churned,annual,2023-04-24 00:00:00
204,3487,4,Enterprise,99.99,2023-03-07,,active,annual,2023-03-07 00:00:00
205,154,4,Enterprise,99.99,2023-10-30,2023-12-29,churned,annual,2023-10-30 00:00:00
206,2039,4,Enterprise,99.99,2023-05-06,2023-12-02,churned,annual,2023-05-06 00:00:00
207,3976,1,Basic,9.99,2023-10-21,,active,monthly,2023-10-21 00:00:00
208,748,4,Enterprise,99.99,2023-05-24,,active,annual,2023-05-24 00:00:00
209,4700,3,Premium,49.99,2023-07-15,,active,annual,2023-07-15 00:00:00
210,4890,4,Enterprise,99.99,2023-11-04,2024-02-02,churned,monthly,2023-11-04 00:00:00
211,1005,4,Enterprise,99.99,2023-10-04,,active,monthly,2023-10-04 00:00:00
212,2070,2,Standard,19.99,2023-10-28,,active,annual,2023-10-28 00:00:00
213,235,2,Standard,19.99,2023-03-11,,active,monthly,2023-03-11 00:00:00
214,3563,4,Enterprise,99.99,2023-04-12,,active,monthly,2023-04-12 00:00:00
215,4412,2,Standard,19.99,2023-02-10,,active,annual,2023-02-10 00:00:00
216,1893,1,Basic,9.99,2023-12-07,,active,annual,2023-12-07 00:00:00
217,1105,4,Enterprise,99.99,2023-08-25,,active,annual,2023-08-25 00:00:00
218,3279,4,Enterprise,99.99,2023-03-17,,active,annual,2023-03-17 00:00:00
219,4254,2,Standard,19.99,2023-10-24,,active,annual,2023-10-24 00:00:00
220,2249,4,Enterprise,99.99,2023-08-12,2024-06-07,churned,monthly,2023-08-12 00:00:00
221,1824,1,Basic,9.99,2023-11-03,,active,monthly,2023-11-03 00:00:00
222,4668,1,Basic,9.99,2023-03-17,,active,monthly,2023-03-17 00:00:00
223,1814,1,Basic,9.99,2023-05-02,2023-09-29,churned,annual,2023-05-02 00:00:00
224,2613,2,Standard,19.99,2023-06-12,2024-01-08,churned,annual,2023-06-12 00:00:00
225,1969,2,Standard,19.99,2023-12-21,,active,monthly,2023-12-21 00:00:00
226,883,1,Basic,9.99,2023-06-06,,active,monthly,2023-06-06 00:00:00
227,1266,2,Standard,19.99,2023-12-19,,active,annual,2023-12-19 00:00:00
228,1044,2,Standard,19.99,2023-05-25,2023-09-22,churned,monthly,2023-05-25 00:00:00
229,185,1,Basic,9.99,2023-08-12,2023-11-10,churned,monthly,2023-08-12 00:00:00
230,3905,4,Enterprise,99.99,2023-08-26,,active,monthly,2023-08-26 00:00:00
231,2519,2,Standard,19.99,2023-12-12,,active,monthly,2023-12-12 00:00:00
232,2011,1,Basic,9.99,2023-10-11,,active,annual,2023-10-11 00:00:00
233,150,1,Basic,9.99,2023-08-20,,active,monthly,2023-08-20 00:00:00
234,3297,4,Enterprise,99.99,2023-01-08,2023-09-05,churned,monthly,2023-01-08 00:00:00
235,366,2,Standard,19.99,2023-05-03,,active,annual,2023-05-03 00:00:00
236,179,3,Premium,49.99,2023-05-15,2023-08-13,churned,monthly,2023-05-15 00:00:00
237,1261,2,Standard,19.99,2023-09-17,,active,monthly,2023-09-17 00:00:00
238,4398,1,Basic,9.99,2023-04-25,2023-09-22,churned,annual,2023-04-25 00:00:00
239,1985,4,Enterprise,99.99,2023-04-05,,active,annual,2023-04-05 00:00:00
240,399,4,Enterprise,99.99,2023-06-15,,active,annual,2023-06-15 00:00:00
241,3089,4,Enterprise,99.99,2023-11-08,,active,annual,2023-11-08 00:00:00
242,431,2,Standard,19.99,2023-11-06,,active,monthly,2023-11-06 00:00:00
243,4471,1,Basic,9.99,2023-01-07,2023-07-06,churned,annual,2023-01-07 00:00:00
244,1083,1,Basic,9.99,2023-07-06,,active,annual,2023-07-06 00:00:00
245,1770,4,Enterprise,99.99,2023-08-10,,active,annual,2023-08-10 00:00:00
246,4624,4,Enterprise,99.99,2023-03-12,,active,monthly,2023-03-12 00:00:00
247,4238,4,Enterprise,99.99,2023-05-20,,active,monthly,2023-05-20 00:00:00
248,3706,4,Enterprise,99.99,2023-11-09,,active,monthly,2023-11-09 00:00:00
249,2632,3,Premium,49.99,2023-11-25,2023-12-25,churned,monthly,2023-11-25 00:00:00
250,491,4,Enterprise,99.99,2023-08-21,,active,annual,2023-08-21 00:00:00
251,2727,4,Enterprise,99.99,2023-12-19,,active,annual,2023-12-19 00:00:00
252,2577,2,Standard,19.99,2023-04-28,,active,monthly,2023-04-28 00:00:00
253,1918,2,Standard,19.99,2023-04-30,,active,monthly,2023-04-30 00:00:00
254,2263,3,Premium,49.99,2023-08-31,2024-04-27,churned,annual,2023-08-31 00:00:00
255,955,4,Enterprise,99.99,2023-08-16,,active,annual,2023-08-16 00:00:00
256,2277,4,Enterprise,99.99,2023-09-25,,active,annual,2023-09-25 00:00:00
257,848,1,Basic,9.99,2023-09-25,,active,annual,2023-09-25 00:00:00
258,3106,2,Standard,19.99,2023-12-15,,active,monthly,2023-12-15 00:00:00
259,4911,3,Premium,49.99,2023-10-29,2024-02-26,churned,annual,2023-10-29 00:00:00
260,909,1,Basic,9.99,2023-09-19,,active,annual,2023-09-19 00:00:00
261,1329,3,Premium,49.99,2023-02-09,,active,annual,2023-02-09 00:00:00
262,2207,1,Basic,9.99,2023-02-21,,active,monthly,2023-02-21 00:00:00
263,4453,4,Enterprise,99.99,2023-09-10,,active,monthly,2023-09-10 00:00:00
264,3414,1,Basic,9.99,2023-05-01,2023-11-27,churned,annual,2023-05-01 00:00:00
265,4714,4,Enterprise,99.99,2023-05-29,,active,annual,2023-05-29 00:00:00
266,4253,2,Standard,19.99,2023-09-01,,active,monthly,2023-09-01 00:00:00
267,3500,1,Basic,9.99,2023-12-12,,active,annual,2023-12-12 00:00:00
268,3338,2,Standard,19.99,2023-09-07,2023-10-07,churned,monthly,2023-09-07 00:00:00
269,1119,2,Standard,19.99,2023-07-31,,active,annual,2023-07-31 00:00:00
270,1919,2,Standard,19.99,2023-06-20,,active,annual,2023-06-20 00:00:00
271,802,2,Standard,19.99,2023-08-29,,active,monthly,2023-08-29 00:00:00
272,4498,1,Basic,9.99,2023-02-06,,active,monthly,2023-02-06 00:00:00
273,1930,2,Standard,19.99,2023-02-12,,active,monthly,2023-02-12 00:00:00
274,2445,4,Enterprise,99.99,2023-10-21,2024-06-17,churned,annual,2023-10-21 00:00:00
275,824,3,Premium,49.99,2023-06-23,,active,annual,2023-06-23 00:00:00
276,4741,3,Premium,49.99,2023-11-23,,active,monthly,2023-11-23 00:00:00
277,1528,3,Premium,49.99,2023-04-12,,active,monthly,2023-04-12 00:00:00
278,2538,2,Standard,19.99,2023-02-03,2023-10-01,churned,annual,2023-02-03 00:00:00
279,3443,3,Premium,49.99,2024-01-13,,active,annual,2024-01-13 00:00:00
280,3254,4,Enterprise,99.99,2023-05-12,,active,annual,2023-05-12 00:00:00
281,2839,3,Premium,49.99,2023-05-16,,active,monthly,2023-05-16 00:00:00
282,4629,2,Standard,19.99,2023-10-17,,active,annual,2023-10-17 00:00:00
283,4362,2,Standard,19.99,2023-08-24,2024-05-20,churned,annual,2023-08-24 00:00:00
284,2729,4,Enterprise,99.99,2023-05-30,,active,annual,2023-05-30 00:00:00
285,2080,3,Premium,49.99,2023-09-22,2024-07-18,churned,annual,2023-09-22 00:00:00
286,504,1,Basic,9.99,2024-01-03,,active,monthly,2024-01-03 00:00:00
287,2462,4,Enterprise,99.99,2023-10-16,,active,monthly,2023-10-16 00:00:00
288,4190,4,Enterprise,99.99,2024-01-15,,active,annual,2024-01-15 00:00:00
289,1167,3,Premium,49.99,2023-02-11,,active,annual,2023-02-11 00:00:00
290,2024,4,Enterprise,99.99,2023-12-28,,active,monthly,2023-12-28 00:00:00
291,772,4,Enterprise,99.99,2023-05-13,,active,annual,2023-05-13 00:00:00
292,1946,2,Standard,19.99,2024-01-07,,active,annual,2024-01-07 00:00:00
293,751,2,Standard,19.99,2023-02-19,,active,annual,2023-02-19 00:00:00
294,4387,1,Basic,9.99,2023-08-06,2024-07-31,churned,monthly,2023-08-06 00:00:00
295,3285,2,Standard,19.99,2023-08-25,,active,monthly,2023-08-25 00:00:00
296,228,2,Standard,19.99,2023-04-20,2023-07-19,churned,monthly,2023-04-20 00:00:00
297,2503,2,Standard,19.99,2023-11-16,,active,annual,2023-11-16 00:00:00
298,608,3,Premium,49.99,2024-01-05,,active,monthly,2024-01-05 00:00:00
299,310,2,Standard,19.99,2023-07-22,,active,monthly,2023-07-22 00:00:00
300,2989,1,Basic,9.99,2023-10-03,2023-11-02,churned,monthly,2023-10-03 00:00:00
301,107,2,Standard,19.99,2023-06-28,2024-01-24,churned,annual,2023-06-28 00:00:00
302,2130,1,Basic,9.99,2023-12-29,,active,monthly,2023-12-29 00:00:00
303,298,3,Premium,49.99,2023-03-13,2024-01-07,churned,annual,2023-03-13 00:00:00
304,1793,2,Standard,19.99,2023-02-01,,active,monthly,2023-02-01 00:00:00
305,2580,4,Enterprise,99.99,2023-10-16,2024-03-14,churned,monthly,2023-10-16 00:00:00
306,3778,4,Enterprise,99.99,2023-04-14,,active,monthly,2023-04-14 00:00:00
307,4528,4,Enterprise,99.99,2023-08-16,,active,annual,2023-08-16 00:00:00
308,2898,3,Premium,49.99,2023-05-18,,active,annual,2023-05-18 00:00:00
309,4719,4,Enterprise,99.99,2023-02-05,,active,annual,2023-02-05 00:00:00
310,4386,3,Premium,49.99,2023-02-26,2023-05-27,churned,monthly,2023-02-26 00:00:00
311,615,1,Basic,9.99,2023-10-12,2023-12-11,churned,monthly,2023-10-12 00:00:00
312,3106,1,Basic,9.99,2023-12-29,2024-12-23,churned,monthly,2023-12-29 00:00:00
313,4805,3,Premium,49.99,2024-01-17,,active,annual,2024-01-17 00:00:00
314,638,2,Standard,19.99,2023-04-30,,active,annual,2023-04-30 00:00:00
315,2302,1,Basic,9.99,2023-11-08,,active,annual,2023-11-08 00:00:00
316,3460,2,Standard,19.99,2023-09-01,,active,monthly,2023-09-01 00:00:00
317,2089,3,Premium,49.99,2023-05-28,,active,annual,2023-05-28 00:00:00
318,4013,1,Basic,9.99,2023-03-04,2023-08-01,churned,annual,2023-03-04 00:00:00
319,2568,2,Standard,19.99,2023-10-05,,active,annual,2023-10-05 00:00:00
