id,channel,date_of_birth,country
210,paid_search,1967-11-13,UK
211,organic,1954-02-23,UK
212,referral,2004-11-03,USA
213,referral,1987-03-08,Australia
214,direct,1967-06-12,Australia
215,email,1984-06-13,Germany
216,referral,1971-11-21,UK
217,email,2011-09-10,USA
218,organic,1988-02-22,UK
219,paid_search,2012-06-07,France
220,referral,1954-07-04,France
221,paid_search,1960-11-20,Germany
222,paid_search,1991-09-08,Australia
223,direct,2000-02-22,France
224,social_media,2017-10-04,Germany
225,direct,2014-07-13,France
226,referral,1999-02-25,Germany
227,paid_search,2016-09-19,Germany
228,referral,1973-04-03,UK
229,email,1974-11-17,France
230,referral,2006-03-25,UK
231,social_media,1989-06-18,USA
232,email,1975-08-20,UK
233,social_media,1980-02-18,Canada
234,direct,1957-03-25,UK
235,paid_search,1970-09-30,Germany
236,email,1963-09-17,Australia
237,paid_search,1955-10-06,Germany
238,referral,1979-09-08,France
239,referral,1987-04-21,USA
240,paid_search,1987-09-11,Germany
241,direct,2012-05-25,USA
242,direct,1984-02-16,Germany
243,organic,1981-07-23,Canada
244,referral,1987-08-05,France
245,email,2015-11-28,France
246,direct,1969-10-14,Germany
247,paid_search,1974-06-27,Germany
248,referral,1952-08-09,Germany
249,social_media,2010-01-03,Australia
250,referral,2014-12-20,UK
251,referral,1961-06-14,France
252,direct,1952-06-02,Germany
253,direct,2000-08-19,Australia
254,organic,1957-07-13,Australia
255,referral,1962-03-05,Germany
256,paid_search,1954-07-06,Canada
257,referral,1979-05-15,UK
258,referral,1979-04-29,Canada
259,referral,1974-12-18,Germany
260,social_media,1957-05-07,Germany
261,organic,2017-03-14,France
262,organic,1981-05-25,UK
263,email,1956-02-27,Australia
264,organic,2017-08-31,USA
265,paid_search,1967-11-20,USA
266,direct,1963-09-03,UK
267,paid_search,1992-06-26,Australia
268,organic,2000-08-06,UK
269,referral,2012-10-02,Canada
270,social_media,1965-01-20,France
271,direct,2017-02-06,Australia
272,organic,1964-09-10,Canada
273,organic,2001-12-01,USA
274,social_media,2001-08-28,Australia
275,referral,1985-08-02,Australia
276,paid_search,1956-10-26,France
277,email,2006-04-10,UK
278,organic,2012-07-19,Canada
279,email,2003-11-13,USA
280,direct,1953-09-07,Canada
281,direct,1988-06-07,Australia
282,social_media,1956-03-09,France
283,email,1980-08-12,USA
284,referral,1993-12-23,USA
285,referral,1982-06-30,Australia
286,referral,2013-06-16,UK
287,referral,1965-10-20,Australia
288,direct,2008-05-10,Canada
289,direct,1998-04-13,Germany
290,referral,1989-01-28,Australia
291,direct,1974-01-29,Canada
292,paid_search,1957-10-10,Canada
293,referral,1971-11-17,Germany
294,direct,2004-10-03,Australia
295,referral,1980-03-07,USA
296,referral,1979-02-28,UK
297,referral,1969-01-11,Canada
298,social_media,1980-07-14,Canada
299,direct,2012-11-27,Canada
300,direct,1950-11-29,France
301,paid_search,1957-09-06,UK
302,email,1986-06-18,Germany
303,direct,2018-01-07,UK
304,email,1992-09-17,Australia
305,email,1994-01-13,Germany
306,organic,1958-05-08,Canada
307,paid_search,1986-04-13,Australia
308,paid_search,1977-06-21,Australia
309,direct,1983-02-09,Germany
310,direct,1997-08-19,Canada
311,referral,2016-12-02,France
312,social_media,1981-07-25,Australia
313,referral,1974-04-22,Canada
314,social_media,1970-09-07,USA
315,email,1967-04-12,Canada
316,organic,2016-08-24,France
317,email,1966-08-11,UK
318,paid_search,2016-04-06,Germany
319,social_media,2015-01-03,France
320,direct,2003-07-17,Canada
321,organic,1967-06-01,Canada
322,paid_search,1982-05-18,UK
323,social_media,1951-04-09,Australia
324,direct,1961-05-10,Canada
325,organic,1954-11-22,France
326,social_media,2012-07-26,UK
327,email,2017-07-15,Germany
328,organic,1951-02-06,France
329,social_media,1992-02-11,Germany
330,referral,1980-07-26,UK
331,organic,1972-08-26,Germany
332,organic,1955-11-12,Germany
333,referral,1956-08-24,France
334,email,2011-08-02,USA
335,paid_search,1963-05-21,France
336,social_media,1957-08-23,UK
337,organic,2000-01-25,Germany
338,direct,2003-06-25,France
339,paid_search,1996-11-18,Germany
340,referral,1989-09-20,Canada
341,direct,1988-06-21,Canada
342,direct,2005-09-18,USA
343,direct,2016-05-25,USA
344,paid_search,2006-02-12,UK
345,social_media,2009-04-01,USA
346,paid_search,1971-07-09,UK
347,direct,1956-09-25,UK
348,organic,1986-08-26,Germany
349,email,2003-04-11,Germany
350,social_media,1952-12-05,UK
351,social_media,2013-06-04,Canada
352,email,1990-09-25,USA
353,email,1970-12-10,Canada
354,email,2002-11-30,Australia
355,paid_search,1988-02-21,USA
356,direct,1970-03-03,Australia
357,paid_search,1973-10-31,UK
358,organic,1955-05-09,UK
359,social_media,2003-05-21,Australia
360,direct,1975-11-23,Germany
361,organic,1992-01-19,Australia
362,social_media,2012-10-10,Germany
363,social_media,1994-11-25,France
364,referral,1989-04-10,USA
365,direct,1953-07-30,Germany
366,email,1978-12-01,France
367,social_media,1952-04-27,USA
368,paid_search,2010-06-30,France
369,direct,1951-11-11,Australia
370,social_media,2001-09-12,USA
371,paid_search,1992-03-18,France
372,email,1989-09-03,Canada
373,paid_search,2002-07-07,Germany
374,email,1994-02-11,USA
375,referral,1981-03-20,Germany
376,social_media,1978-10-21,Australia
377,organic,1964-06-05,Canada
378,referral,2012-03-26,Germany
379,social_media,2009-06-11,Germany
380,direct,1953-04-17,Germany
381,organic,1978-03-21,Canada
382,social_media,1960-05-26,Germany
383,direct,1950-02-07,Australia
384,direct,1991-06-13,Germany
385,organic,1966-10-30,France
386,social_media,2005-11-10,Germany
387,email,1989-08-28,USA
388,paid_search,1973-12-16,France
389,paid_search,1975-11-04,Germany
390,email,1993-06-27,USA
391,organic,2006-07-10,France
392,paid_search,2013-09-05,UK
393,social_media,1999-06-02,USA
394,direct,1986-08-09,USA
395,paid_search,1960-03-06,Germany
396,organic,2008-02-10,UK
397,referral,2014-04-16,Canada
398,direct,2013-04-14,Canada
399,referral,1993-04-15,Germany
400,paid_search,1990-12-24,France
401,paid_search,1984-05-31,UK
402,direct,1995-08-07,Australia
403,paid_search,1956-04-06,Canada
404,referral,1980-06-29,France
405,social_media,1950-03-26,Canada
406,email,1976-10-14,France
407,direct,2009-03-16,Germany
408,paid_search,1990-01-23,France
409,referral,1980-12-18,Canada
410,direct,2018-06-10,France
411,referral,1990-11-07,Canada
412,paid_search,2012-07-29,UK
413,direct,1984-05-11,UK
414,referral,1953-12-01,Canada
415,email,1992-06-07,Australia
416,referral,1984-08-21,Australia
417,email,1963-08-25,Germany
418,organic,1961-04-29,France
419,direct,1979-10-14,USA
420,referral,1958-12-12,France
421,referral,1951-05-18,Australia
422,paid_search,1986-10-13,Australia
423,paid_search,1956-09-17,Germany
424,social_media,1980-05-16,France
425,email,1985-08-29,Australia
426,organic,1979-06-24,Australia
427,direct,1984-02-04,Canada
428,email,2014-06-24,Germany
429,direct,1953-03-22,France
430,organic,1971-01-23,Australia
431,email,1975-10-13,UK
432,email,1958-02-09,Germany
433,organic,2018-03-20,Australia
434,email,1959-01-07,Germany
435,paid_search,2012-04-06,Canada
436,organic,1954-02-16,Canada
437,organic,1976-04-27,Canada
438,social_media,1988-08-21,UK
439,paid_search,1997-08-27,Germany
440,direct,2011-03-03,UK
441,paid_search,1965-09-15,USA
442,direct,1984-04-27,France
443,email,1971-08-10,Germany
444,direct,1962-11-03,UK
445,referral,2007-03-25,Canada
446,referral,1972-11-27,Australia
447,organic,1991-09-28,Canada
448,email,1999-01-14,UK
449,organic,1989-08-18,Canada
450,direct,1976-11-02,Australia
451,referral,2011-12-07,Canada
452,referral,1977-02-07,UK
453,referral,1993-05-08,USA
454,paid_search,1984-03-19,France
455,social_media,2001-07-27,Canada
456,email,1976-06-27,USA
457,email,1985-07-05,Canada
458,organic,2000-10-09,Australia
459,email,1954-05-27,France
460,email,1994-07-25,Canada
461,paid_search,2004-06-18,Canada
462,paid_search,2007-02-11,UK
463,direct,1972-06-26,Australia
464,email,2009-02-20,Australia
465,paid_search,2006-05-13,USA
466,email,2007-12-27,USA
467,social_media,1989-07-19,USA
468,direct,1982-09-25,Australia
469,paid_search,1958-02-01,Canada
470,social_media,2017-01-22,Germany
471,paid_search,1968-01-06,UK
472,direct,1982-10-28,France
473,direct,1974-06-14,UK
474,social_media,1993-03-25,Canada
475,email,1980-05-22,USA
476,referral,1956-10-03,UK
477,paid_search,2010-09-04,Australia
478,email,1985-08-27,France
479,social_media,1958-02-07,Germany
480,organic,1973-09-22,France
481,organic,1990-10-20,Canada
482,email,2017-03-13,Australia
483,social_media,2002-06-11,Germany
484,email,1983-04-30,USA
485,email,1970-12-23,Germany
486,organic,2005-08-01,France
487,social_media,2004-09-25,UK
488,email,1955-09-03,Australia
489,referral,2012-11-23,Canada
490,email,1986-08-19,USA
491,paid_search,1954-01-25,USA
492,social_media,1994-03-13,USA
493,organic,1971-01-24,France
494,paid_search,1984-11-13,Germany
495,social_media,2010-02-25,Australia
496,email,1998-06-19,Germany
497,direct,2016-08-04,Australia
498,paid_search,1987-03-22,Australia
499,organic,1993-11-25,France
500,referral,1975-02-05,USA
501,email,1983-03-30,UK
502,referral,1989-11-23,UK
503,social_media,1958-11-30,Australia
504,social_media,1998-11-06,Australia
505,social_media,1955-06-08,Germany
506,social_media,1967-01-11,USA
507,referral,1958-03-23,Australia
508,paid_search,2007-07-28,Australia
509,direct,1951-12-01,USA
510,social_media,1971-11-08,UK
511,direct,1968-05-30,USA
512,direct,1968-08-02,France
513,paid_search,1970-11-26,Canada
514,paid_search,2003-06-21,USA
515,social_media,1962-12-25,UK
516,direct,1972-06-27,UK
517,organic,2009-04-22,USA
518,paid_search,1951-05-02,Canada
519,paid_search,2002-10-30,Canada
520,organic,1965-08-19,Canada
521,organic,1961-05-16,Australia
522,referral,1997-03-13,USA
523,email,1955-09-14,Germany
524,referral,1982-06-25,France
525,direct,1959-10-14,Germany
526,direct,1969-11-16,France
527,organic,2015-03-31,Australia
528,direct,1977-01-22,Germany
529,email,1952-10-17,USA
530,referral,1986-01-12,Germany
531,email,1959-09-08,Germany
532,email,1989-10-17,USA
533,organic,1978-11-24,France
534,paid_search,1955-11-23,UK
535,social_media,2006-01-04,Australia
536,direct,1999-03-13,Australia
537,social_media,1984-03-04,France
538,direct,1976-06-16,Germany
539,direct,2004-04-25,Germany
540,organic,2012-12-16,USA
541,email,2008-05-25,France
542,email,1969-04-16,Germany
543,referral,1970-07-02,Germany
544,social_media,1990-09-08,Germany
545,referral,2015-06-16,USA
546,social_media,1988-04-15,Canada
547,email,1972-11-13,Canada
548,paid_search,2011-08-14,Germany
549,organic,1958-03-09,USA
550,organic,1988-09-29,USA
551,email,2016-04-12,Canada
552,paid_search,1999-12-01,USA
553,direct,2000-05-20,France
554,social_media,2010-02-09,USA
555,referral,1981-09-21,Australia
556,referral,2014-09-09,USA
557,social_media,2003-11-13,Canada
558,social_media,1959-04-18,France
559,direct,1969-02-01,UK
560,email,1993-04-05,UK
561,organic,1981-05-30,France
562,social_media,1960-04-22,Canada
563,direct,1970-04-16,Germany
564,direct,2005-10-11,France
565,email,2007-08-29,France
566,organic,2004-08-20,Australia
567,email,1973-12-29,USA
568,paid_search,1974-07-08,Australia
569,social_media,1980-06-27,Canada
570,organic,1966-04-11,UK
571,direct,2008-12-21,Germany
572,organic,1962-09-23,Australia
573,email,1952-10-01,USA
574,email,1997-08-04,UK
575,referral,1987-09-01,Germany
576,social_media,1964-02-14,Canada
577,social_media,2014-09-27,Canada
578,direct,2003-06-29,USA
579,organic,1963-12-17,UK
580,direct,1954-06-19,Australia
581,organic,1974-05-31,Germany
582,email,1988-01-16,Germany
583,direct,1989-08-28,Germany
584,social_media,1969-05-04,France
585,organic,1980-12-19,Germany
586,organic,1975-05-31,Australia
587,email,2003-03-19,Germany
588,direct,2009-11-07,Canada
589,organic,1969-10-13,Germany
590,direct,1954-12-01,USA
591,paid_search,1977-01-15,UK
592,paid_search,1972-12-03,Canada
593,social_media,1960-10-06,USA
594,referral,2017-01-07,Germany
595,paid_search,1961-08-04,Germany
596,direct,2013-02-16,UK
597,direct,2000-02-16,Australia
598,social_media,1956-06-19,Germany
599,email,1953-10-18,Germany
600,organic,1991-04-01,USA
601,social_media,2001-08-27,Germany
602,direct,1986-04-14,Australia
603,email,1987-06-22,Canada
604,organic,1986-05-04,USA
605,social_media,1965-06-02,France
606,referral,2011-11-14,Canada
607,organic,1989-03-07,USA
608,paid_search,1989-02-01,France
609,referral,1997-01-03,USA
610,referral,1977-11-02,Australia
611,social_media,1969-11-17,Canada
612,paid_search,1956-11-07,France
613,email,1960-03-25,France
614,direct,1967-05-25,Canada
615,social_media,2015-04-04,Australia
616,paid_search,1971-03-14,USA
617,paid_search,1972-12-18,UK
618,paid_search,2004-01-17,UK
619,email,1956-10-05,UK
620,email,1994-05-01,Germany
621,direct,2018-03-04,France
622,referral,2011-02-09,France
623,email,2006-12-30,France
624,social_media,2006-04-09,Canada
625,paid_search,1989-06-15,USA
626,referral,1989-09-03,Australia
627,social_media,1974-08-23,France
628,organic,1981-07-29,France
629,organic,1977-11-06,Germany
630,referral,1953-05-17,USA
631,social_media,1975-10-03,USA
632,email,1958-02-06,France
633,direct,1995-06-29,Germany
634,referral,2002-01-24,France
635,email,1953-09-06,Germany
636,direct,2008-06-24,UK
637,social_media,2004-04-11,Germany
638,direct,1963-07-15,USA
639,referral,1959-04-15,Canada
640,email,1957-07-26,France
641,email,1965-06-25,USA
642,paid_search,2013-06-26,Germany
643,referral,1997-01-06,France
644,direct,1964-03-29,Canada
645,social_media,1975-05-19,Germany
646,referral,1980-05-10,Australia
647,direct,1954-09-12,Australia
648,email,1980-01-09,USA
649,social_media,1958-06-24,France
650,email,1984-09-05,Canada
651,social_media,2014-12-06,Australia
652,direct,1963-06-29,Canada
653,organic,2002-04-13,Australia
654,paid_search,1981-05-20,Canada
655,email,2012-08-30,Australia
656,referral,1961-07-27,France
657,email,1957-08-08,Canada
658,direct,1983-10-18,Australia
659,social_media,1961-06-19,Australia
660,email,2016-04-12,Australia
661,direct,1958-05-21,Australia
662,email,1987-12-27,France
663,social_media,1951-08-21,Canada
664,social_media,1966-03-04,UK
665,social_media,1993-08-17,UK
666,paid_search,1962-05-05,UK
667,organic,1976-07-15,USA
668,direct,1998-06-05,Australia
669,direct,1953-05-21,Australia
670,social_media,2005-06-12,UK
671,direct,1983-10-19,UK
672,paid_search,1966-03-23,Australia
673,direct,1964-11-07,Australia
674,referral,1953-12-02,Germany
675,social_media,2010-09-06,Australia
676,paid_search,1989-11-07,France
677,social_media,2017-07-02,Australia
678,referral,1970-12-29,France
679,paid_search,1977-10-06,Germany
680,paid_search,1983-01-01,Australia
681,direct,1989-07-12,Germany
682,social_media,1984-04-05,France
683,direct,1987-07-24,UK
684,paid_search,2004-03-31,UK
685,social_media,1954-09-06,Australia
686,referral,1983-04-21,France
687,organic,2013-10-28,France
688,organic,1975-07-29,USA
689,paid_search,1974-06-22,Germany
690,direct,1963-03-22,Germany
691,organic,1969-12-02,Germany
692,social_media,1952-05-23,Germany
693,organic,1985-07-27,France
694,social_media,1971-02-25,Germany
695,organic,1983-08-21,UK
696,organic,1978-08-04,USA
697,email,2008-04-23,Canada
698,paid_search,1962-05-06,USA
699,social_media,1992-05-21,Australia
700,paid_search,2018-01-29,Australia
701,referral,1990-03-31,France
702,organic,1957-02-09,USA
703,social_media,1969-05-07,UK
704,direct,2015-03-31,France
705,direct,1987-12-22,USA
706,social_media,1971-04-27,Canada
707,organic,1954-04-14,UK
708,referral,2007-04-29,France
709,referral,1955-08-21,USA
710,referral,2003-07-15,France
711,organic,2006-09-11,France
712,direct,1971-09-15,Australia
713,paid_search,1976-02-18,Germany
714,organic,2005-02-27,Canada
715,paid_search,2001-03-13,Germany
716,paid_search,2009-08-09,Australia
717,organic,1996-12-18,Canada
718,organic,1997-03-12,France
719,direct,1995-07-17,France
720,organic,1985-01-11,Germany
721,organic,2007-01-11,Germany
722,social_media,1972-10-03,Australia
723,organic,1982-01-14,USA
724,social_media,1971-08-20,Australia
725,email,2006-05-13,USA
726,direct,2015-12-16,Canada
727,paid_search,1953-12-23,Canada
728,direct,1980-05-16,Australia
729,paid_search,2011-06-05,Germany
730,email,1992-12-06,Australia
731,paid_search,1962-02-05,USA
732,email,1991-01-23,USA
733,social_media,1968-02-01,USA
734,paid_search,1953-10-05,Canada
735,social_media,1996-03-28,Germany
736,direct,1992-06-21,Canada
737,organic,2017-07-31,Australia
738,paid_search,1975-09-02,Canada
739,organic,2008-10-30,Canada
740,social_media,1961-03-02,Canada
741,referral,1985-11-20,Australia
742,referral,1984-09-08,Canada
743,paid_search,1994-07-08,Australia
744,referral,1982-12-16,France
745,social_media,1957-05-31,Australia
746,referral,1957-01-30,Germany
747,direct,1966-03-11,France
748,social_media,1978-10-26,USA
749,organic,1979-06-03,Australia
750,social_media,1977-07-01,Germany
751,direct,2014-05-21,Germany
752,paid_search,2011-11-19,Germany
753,social_media,1990-02-11,USA
754,email,1981-08-18,France
755,referral,1974-08-19,Australia
756,organic,1956-09-24,Australia
757,email,1986-06-11,Canada
758,direct,2017-04-11,Australia
759,paid_search,1952-10-17,UK
760,direct,2010-11-01,Germany
761,organic,1961-04-29,USA
762,paid_search,2007-11-18,Canada
763,social_media,1984-05-07,France
764,organic,2004-04-14,UK
765,email,1990-05-14,Canada
766,social_media,1989-10-30,USA
767,direct,1962-05-09,France
768,social_media,1985-09-16,Canada
769,email,1975-01-02,UK
770,organic,1952-04-29,Australia
771,paid_search,1994-10-09,France
772,referral,2000-05-22,USA
773,social_media,1973-05-09,Australia
774,referral,1969-04-02,France
775,social_media,2012-04-05,Germany
776,paid_search,1961-01-01,UK
777,organic,1990-07-22,UK
778,email,1989-12-07,USA
779,email,1978-09-03,Australia
780,social_media,2013-08-28,USA
781,direct,1998-08-22,Canada
782,social_media,1964-02-18,Australia
783,email,2012-10-26,Australia
784,paid_search,1982-06-07,France
785,paid_search,1960-11-20,UK
786,paid_search,1971-03-29,Germany
787,organic,1982-05-18,France
788,direct,1983-02-05,Germany
789,direct,1961-08-23,France
790,organic,1955-11-25,Canada
791,referral,2014-04-27,Australia
792,referral,1997-02-28,Germany
793,referral,2001-07-30,USA
794,paid_search,1978-06-11,Australia
795,organic,1990-05-15,Germany
796,email,1996-05-31,Canada
797,paid_search,1999-06-18,Australia
798,direct,1966-04-29,UK
799,referral,1995-02-11,USA
800,organic,1996-06-25,UK
801,social_media,1964-10-09,UK
802,social_media,2013-08-21,UK
803,social_media,1996-07-21,Canada
804,organic,1972-06-25,UK
805,email,1999-06-02,Canada
806,paid_search,2006-01-27,Canada
807,direct,1997-11-11,USA
808,direct,2007-07-04,UK
809,direct,2002-02-03,UK
810,paid_search,2009-02-05,France
811,email,2004-04-16,Canada
812,direct,1953-09-11,USA
813,organic,1954-01-29,Australia
814,direct,1973-09-29,Australia
815,paid_search,2001-04-30,Germany
816,direct,2007-04-30,USA
817,referral,2006-04-07,France
818,social_media,2007-08-04,Canada
819,referral,1971-12-21,Australia
820,referral,1976-09-07,Germany
821,organic,2011-10-12,USA
822,paid_search,1989-06-09,Germany
823,referral,1991-09-01,UK
824,social_media,2004-06-05,UK
825,social_media,2014-06-13,Canada
826,email,1980-12-26,Germany
827,paid_search,2018-03-30,Canada
828,direct,2000-05-22,USA
829,social_media,1971-09-09,Germany
830,organic,1973-12-30,Germany
831,paid_search,1962-08-22,USA
832,organic,1976-01-14,Germany
833,direct,1987-07-07,UK
834,paid_search,1979-05-18,France
835,email,1978-01-21,UK
836,paid_search,1994-09-14,France
837,referral,1994-09-30,Canada
838,referral,1952-01-30,USA
839,referral,1995-05-07,Germany
840,paid_search,1969-04-20,France
841,social_media,1954-05-14,USA
842,social_media,1994-05-26,France
843,email,2010-05-03,Germany
844,social_media,1998-02-24,USA
845,organic,1988-08-29,UK
846,social_media,2015-04-08,Canada
847,referral,1982-10-31,USA
848,referral,1954-08-04,France
849,direct,1967-06-19,Canada
850,direct,1975-11-22,USA
851,referral,1995-03-29,Germany
852,direct,1975-02-04,France
853,email,2004-10-26,USA
854,paid_search,1958-09-04,Germany
855,social_media,1980-06-03,France
856,social_media,2017-09-24,UK
857,paid_search,2004-01-19,France
858,referral,1994-11-12,USA
859,organic,1953-06-29,UK
860,email,1979-11-18,Germany
861,direct,1990-12-31,UK
862,direct,1996-04-01,UK
863,social_media,2005-01-01,Canada
864,paid_search,1985-04-03,France
865,email,1976-11-05,France
866,social_media,1995-07-07,France
867,direct,1993-12-12,Australia
868,direct,1976-11-23,Germany
869,organic,1983-01-18,Canada
870,email,1959-11-01,Germany
871,direct,1977-08-08,Australia
872,email,2006-06-15,USA
873,direct,1992-07-30,Canada
874,email,2001-11-24,France
875,paid_search,2014-09-20,USA
876,direct,1993-02-07,UK
877,direct,2006-06-07,Australia
878,direct,1984-02-10,UK
879,email,1971-09-24,USA
880,direct,2012-11-05,USA
881,paid_search,1951-09-13,Germany
882,social_media,1987-07-28,UK
883,referral,2011-12-13,UK
884,referral,1995-01-08,France
885,referral,2016-01-06,Australia
886,organic,2013-04-26,UK
887,direct,1968-08-08,France
888,social_media,2009-05-30,Germany
889,direct,1983-10-22,Canada
890,paid_search,1991-03-29,France
