account_id,event_time,event_type_id,user_id,event_value
884,2025-11-10,11,,
702,2025-10-13,5,6.0,73.84
4795,2025-04-04,6,,67.58
3663,2025-03-27,10,,68.54
4388,2025-11-26,12,,39.7
3485,2025-12-04,10,,
4703,2025-11-28,10,,
1740,2025-10-29,9,,75.66
3706,2025-10-24,7,10.0,
3520,2025-07-13,2,,95.4
4960,2025-11-14,8,,71.23
3092,2025-10-15,3,,
2636,2025-11-27,10,,
3295,2025-12-04,3,,
4575,2025-05-31,5,,
3973,2025-09-10,9,,64.02
1564,2024-12-22,12,6.0,
2196,2025-07-16,8,1.0,
3097,2025-10-29,6,,43.57
3988,2024-10-14,5,,
1780,2025-09-23,12,,
698,2025-09-30,8,,
3894,2025-09-14,1,10.0,58.12
3906,2025-06-13,8,5.0,
4678,2024-09-18,5,,24.84
3853,2025-11-20,5,3.0,
2012,2025-08-31,2,,30.0
3680,2024-10-01,5,,73.04
3668,2025-05-05,8,,41.64
1194,2025-07-26,8,,50.65
2548,2024-05-20,4,,
2093,2025-07-05,7,,90.39
3526,2024-09-14,2,,
4814,2025-10-08,10,,
3289,2025-10-16,9,,80.42
1099,2025-09-22,4,8.0,
2247,2024-05-16,10,,
3086,2025-11-02,10,,
2031,2025-06-29,9,,
2093,2025-02-27,7,,2.9
721,2025-10-24,6,1.0,84.16
3911,2025-01-25,12,,69.62
168,2025-02-05,2,10.0,53.14
522,2025-12-02,8,,
2631,2025-04-06,6,1.0,
2290,2025-06-21,5,7.0,
4489,2025-11-24,7,,90.85
4865,2025-07-28,3,,80.39
2554,2025-11-19,3,2.0,54.53
2241,2024-12-17,9,1.0,46.49
320,2025-10-16,12,8.0,
3307,2024-02-16,11,,83.51
4730,2024-06-12,12,10.0,77.83
4616,2025-03-29,11,,
1603,2025-09-17,7,,
3022,2025-10-30,7,,
2721,2024-11-30,3,5.0,
4638,2025-07-16,7,,
3535,2025-07-17,9,,
3786,2025-07-07,6,,
802,2025-09-21,7,,
686,2025-09-22,9,,
1689,2025-01-28,2,,
2974,2025-02-09,3,,39.21
3293,2025-10-26,3,,
852,2025-09-20,6,6.0,67.04
4952,2025-11-03,4,,47.23
3957,2025-08-14,7,2.0,56.42
3773,2025-10-14,11,,94.14
1503,2025-07-02,10,,
261,2025-06-12,4,9.0,77.83
1637,2024-09-17,8,,
82,2025-04-02,1,,
2622,2025-08-03,9,,71.74
4208,2025-02-20,12,,
3220,2025-07-28,11,,
3028,2025-11-06,6,,
4566,2025-03-19,3,2.0,26.92
1348,2025-09-24,6,7.0,
1307,2025-08-21,6,3.0,89.32
4436,2025-02-19,12,,
2758,2025-07-16,11,,
2228,2025-10-23,12,,51.39
1483,2025-03-03,2,,83.97
4297,2024-07-26,2,,
4202,2025-09-01,10,7.0,11.59
4550,2025-05-13,6,,39.38
3793,2024-09-26,12,7.0,
499,2025-07-29,6,10.0,49.15
3481,2025-09-29,4,,54.76
686,2024-07-14,1,,80.01
1162,2025-06-19,12,4.0,
2520,2025-06-16,1,2.0,
1248,2025-09-26,9,9.0,97.4
4069,2025-10-10,6,,
3189,2025-06-10,5,,56.48
627,2024-11-15,10,3.0,
4436,2024-08-31,9,,
2301,2025-11-23,7,,
4940,2025-02-23,10,,51.78
3205,2025-10-27,9,10.0,
1367,2025-11-07,8,10.0,
149,2025-07-08,6,,
1108,2025-11-09,3,,
2066,2024-09-14,8,3.0,30.59
3863,2025-11-17,5,,
4629,2025-04-05,10,7.0,
3005,2025-09-16,10,9.0,6.41
3965,2025-11-03,3,,41.14
4500,2025-01-28,9,,
4573,2025-09-13,9,,
1461,2025-01-16,5,,
4864,2025-08-21,2,9.0,
3266,2025-05-17,11,,
251,2025-11-29,8,,57.14
917,2025-08-26,10,,
2661,2024-11-27,3,2.0,10.54
3552,2024-06-01,11,,21.81
3980,2025-10-21,5,5.0,
4571,2025-03-30,11,,
4872,2025-11-29,1,9.0,
3830,2025-10-17,8,,6.34
3036,2024-06-29,4,7.0,24.95
2493,2025-09-29,9,,43.19
2724,2025-08-23,9,,63.95
4098,2025-07-18,1,,
3830,2025-09-07,4,,
2951,2025-03-07,5,7.0,
4268,2025-10-11,4,6.0,
961,2025-10-16,3,7.0,
909,2025-07-22,6,,
3136,2025-06-13,3,4.0,14.48
2348,2025-06-24,2,6.0,
53,2025-06-24,10,,
4288,2024-10-22,12,8.0,
2460,2025-08-26,2,6.0,66.64
2604,2025-03-04,1,,
2209,2025-09-30,11,,
3610,2025-06-22,5,6.0,82.75
2600,2025-08-23,6,,
2579,2025-07-08,2,2.0,75.72
4819,2025-04-27,9,,67.7
4144,2025-05-22,5,5.0,72.8
2452,2025-11-10,4,,43.32
4843,2024-11-15,6,,
425,2023-12-27,10,6.0,
4021,2025-07-19,9,,19.85
4565,2025-06-08,12,,84.01
2295,2025-07-23,11,3.0,19.24
310,2025-01-04,3,8.0,
1249,2025-11-14,9,4.0,42.0
2113,2025-11-14,5,,38.5
2882,2025-10-12,10,,73.66
3540,2024-09-26,10,,
1329,2025-10-20,5,4.0,15.21
1964,2025-12-05,6,,89.08
410,2025-10-24,9,,
4956,2024-12-18,1,,13.66
2609,2024-11-27,6,3.0,59.06
320,2025-11-14,12,,
2145,2024-11-07,9,,43.04
3443,2024-04-25,8,1.0,
246,2025-02-21,8,,81.08
656,2025-06-24,10,,13.06
4357,2025-04-02,4,,
1121,2025-04-07,6,7.0,
1871,2025-11-21,6,,4.83
3407,2025-09-16,4,1.0,98.75
419,2025-05-05,3,,
4094,2025-07-13,1,,
907,2025-01-16,3,,
2404,2024-12-15,12,,84.59
2994,2025-04-18,2,,
1287,2025-11-27,11,,30.68
3950,2025-09-23,7,,63.91
3383,2025-11-22,12,,85.83
4448,2025-11-24,5,9.0,2.72
82,2025-12-06,1,,76.24
2986,2025-11-25,5,9.0,73.43
2499,2025-02-26,8,3.0,18.86
833,2024-11-17,12,,
1479,2025-09-18,4,7.0,
565,2024-12-11,11,,
4969,2025-10-25,12,6.0,34.89
4151,2024-11-25,8,,54.36
2850,2025-05-11,7,1.0,88.83
453,2024-10-05,2,,64.77
1527,2024-12-09,8,,22.31
2977,2024-12-01,5,,
3205,2025-11-14,1,10.0,
4256,2025-08-09,4,6.0,
2290,2025-07-03,11,,
148,2024-03-18,9,,34.51
4880,2025-05-28,2,,51.39
4439,2024-10-24,12,,20.07
4817,2024-05-27,11,,26.36
2683,2025-10-22,11,,20.61
399,2024-09-18,4,,
3587,2025-09-01,2,,62.0
2433,2024-09-17,7,,
4195,2025-08-25,1,8.0,84.26
2193,2025-08-29,11,1.0,20.07
4293,2024-11-11,6,10.0,19.2
3021,2025-11-24,4,1.0,
2723,2025-02-07,3,,32.04
3780,2025-11-15,10,,
1453,2024-12-06,7,,51.04
3906,2025-10-29,7,6.0,86.52
2974,2024-10-18,2,,
929,2025-10-10,9,,
2120,2024-07-08,8,,22.72
3930,2025-11-11,4,8.0,98.87
3406,2025-10-04,4,5.0,
3373,2024-12-30,9,,58.31
2432,2025-05-02,11,,
2005,2025-12-03,11,,25.78
3938,2025-05-21,11,10.0,
157,2025-07-21,11,,42.19
955,2025-10-24,10,,34.97
4418,2025-01-29,1,6.0,
3089,2025-10-20,12,,
228,2025-09-10,7,,
2093,2025-02-15,12,2.0,
2488,2025-11-27,1,,24.02
452,2025-07-31,9,2.0,
645,2025-12-04,3,,
2045,2025-10-15,8,,5.66
3188,2025-11-13,11,,94.03
4590,2025-04-04,2,,66.55
2868,2024-10-02,8,,1.67
140,2025-04-21,1,8.0,
644,2025-05-31,2,,75.93
4554,2025-09-05,2,,
1051,2025-06-14,5,,79.45
4281,2024-06-05,1,,24.64
3629,2024-11-02,12,9.0,
542,2024-12-15,1,4.0,
3872,2025-12-06,3,9.0,
2038,2025-12-01,2,,49.71
3976,2025-11-02,5,8.0,
1873,2025-02-07,6,,
3686,2025-05-14,7,,
3095,2025-07-17,12,,
4067,2025-09-08,4,,
4960,2025-09-23,8,,
4050,2025-12-06,2,8.0,
2427,2025-11-29,2,,
481,2025-07-11,9,,52.69
4950,2025-11-23,12,,57.09
4146,2025-09-24,9,,40.91
3047,2024-09-08,7,,
4842,2025-11-27,3,,
425,2025-03-22,11,9.0,
4844,2025-08-08,12,,92.1
2812,2025-08-14,9,,60.12
601,2025-07-11,11,,
2888,2025-06-04,8,,66.87
635,2025-11-23,9,8.0,73.5
718,2025-04-06,9,4.0,
1598,2025-05-18,4,,77.46
629,2025-11-04,11,,56.68
1630,2025-10-10,6,,64.83
847,2025-06-21,6,7.0,74.6
1686,2025-10-21,3,8.0,
2885,2025-10-29,3,4.0,33.89
1468,2025-03-14,11,,63.23
4639,2025-10-21,1,,
2766,2025-11-15,11,,
4610,2025-04-10,6,,
2307,2025-11-08,7,,51.69
3164,2025-06-17,4,,
851,2025-12-01,10,,
808,2024-05-01,7,2.0,28.92
2273,2025-11-23,5,,
3193,2025-09-07,5,,64.18
1405,2024-12-20,9,,12.07
2492,2025-10-03,3,9.0,
916,2025-11-24,10,,42.83
1693,2024-03-20,10,7.0,
4565,2025-09-21,8,1.0,
2282,2025-01-25,3,,9.25
798,2025-07-29,3,,85.45
2458,2025-09-16,8,10.0,47.04
1960,2025-10-08,2,6.0,
1574,2025-11-25,10,1.0,8.77
2519,2025-10-19,10,,
3387,2024-12-27,3,4.0,55.97
1598,2025-08-09,1,,31.93
918,2024-11-30,11,4.0,93.89
3228,2025-07-21,12,2.0,83.71
4535,2025-04-17,6,,98.62
27,2025-10-22,4,,59.11
4579,2025-03-23,5,,65.93
4169,2025-07-20,4,4.0,24.04
905,2025-09-28,12,,2.89
4133,2025-12-01,5,6.0,80.55
3823,2025-11-27,2,,37.22
4292,2025-02-17,5,,
2496,2025-08-20,10,,
2735,2025-11-01,8,,84.76
4294,2025-04-13,2,,28.13
320,2025-07-23,9,,58.81
4463,2025-01-21,4,,2.71
3416,2025-07-06,4,,
3225,2025-09-26,9,7.0,
333,2025-05-21,3,,73.45
2697,2025-10-01,2,,91.84
2683,2024-07-18,1,10.0,
4606,2025-08-28,3,,
4721,2025-11-29,5,,52.13
3635,2025-05-06,12,10.0,
4250,2025-10-15,11,1.0,
2803,2025-05-01,7,,67.94
4297,2024-12-12,11,7.0,58.67
3227,2025-02-20,3,,49.47
1794,2025-10-19,2,10.0,30.01
1470,2025-08-04,12,9.0,
2499,2025-06-06,1,,87.23
4921,2025-11-21,9,4.0,
1515,2025-11-23,10,6.0,49.89
1142,2025-07-05,8,,71.81
1285,2025-10-01,1,,
3991,2025-02-08,8,3.0,94.65
2666,2025-07-15,6,,21.75
1364,2025-05-22,2,,43.75
384,2025-10-05,8,,
2270,2025-01-12,12,,27.99
1375,2024-02-12,10,5.0,
2213,2025-11-18,2,,17.41
205,2025-11-16,3,3.0,39.23
900,2024-10-11,2,,60.19
452,2025-03-27,4,,
3264,2025-04-14,11,,
2718,2025-10-17,11,,23.84
3700,2025-08-14,4,,
4646,2025-11-06,3,,98.51
4159,2025-07-25,12,9.0,
1453,2025-02-26,6,5.0,14.5
867,2025-10-15,8,,
1000,2025-09-15,6,,47.09
1567,2025-02-22,8,,27.62
1708,2024-02-20,6,,73.48
2093,2025-05-15,12,,
4730,2024-08-17,3,,
135,2025-07-23,5,,
2432,2025-09-01,4,6.0,95.1
4394,2025-05-14,6,,
56,2025-10-12,12,,92.29
3268,2024-12-15,8,9.0,
1551,2025-11-16,11,,
4476,2025-04-27,3,,
3373,2024-12-15,12,,3.6
3485,2024-10-12,11,,13.37
1344,2025-12-03,5,,28.89
2207,2025-09-27,10,,35.5
4146,2025-06-08,11,,32.95
534,2025-04-13,9,1.0,
2966,2025-11-02,1,,47.92
4382,2025-08-04,1,,
4562,2025-07-27,3,,
3898,2024-12-11,6,2.0,70.64
3823,2025-12-06,5,,35.2
2465,2025-09-18,8,,73.25
3569,2025-08-08,10,10.0,32.2
2405,2024-03-01,1,,
1519,2024-07-30,8,,
849,2024-09-08,6,,
2788,2025-10-28,10,,
378,2025-04-05,6,,
137,2025-07-13,4,1.0,84.23
3646,2025-09-27,1,,
168,2025-07-26,8,,48.64
3910,2025-11-24,2,,
4733,2025-08-31,7,,38.74
3973,2025-04-13,9,,
2782,2025-05-08,10,1.0,
2807,2025-01-08,6,3.0,86.15
1242,2025-11-19,7,,57.68
2191,2025-08-25,12,5.0,
1876,2024-09-14,8,10.0,
2028,2025-02-18,7,9.0,
2263,2025-07-21,8,6.0,
3362,2025-08-05,2,10.0,
2644,2025-04-04,5,,76.25
3033,2025-03-23,10,,
2823,2025-11-16,11,,34.19
2190,2025-12-04,12,,
1384,2025-06-29,11,,
1592,2025-08-07,8,10.0,67.48
3688,2025-07-09,8,8.0,
4551,2024-07-06,12,,
3585,2025-08-15,4,,81.66
2092,2025-06-15,10,8.0,27.3
610,2025-06-29,11,6.0,
419,2025-10-23,9,,25.51
1614,2025-08-26,11,,
1741,2025-09-28,1,,31.09
3410,2025-07-06,2,,
4358,2025-11-03,10,,
1792,2025-10-22,12,,
3056,2025-09-30,12,,
764,2025-05-25,2,,65.76
3075,2025-06-30,5,,9.73
1126,2025-10-19,8,,76.69
3015,2025-11-18,12,9.0,12.59
2307,2025-10-14,1,,17.3
3660,2024-09-17,5,7.0,27.29
2681,2025-11-18,12,,
4431,2025-11-14,2,,65.74
2580,2025-08-28,6,8.0,
157,2025-08-24,5,,56.25
1587,2025-11-03,1,,
426,2025-07-02,6,,95.59
2460,2025-08-10,1,,28.01
4461,2025-05-08,1,,95.64
4036,2025-08-12,10,,
4426,2024-04-02,10,,93.51
604,2025-11-06,4,8.0,
3329,2025-11-11,7,,76.46
1785,2025-10-30,12,1.0,1.29
4165,2025-10-22,10,,
1653,2025-05-06,5,2.0,45.29
702,2025-10-10,10,10.0,10.7
1777,2025-04-12,10,1.0,
2735,2025-09-24,4,,27.88
2919,2025-11-16,12,,
2360,2025-03-13,9,,
1437,2025-11-28,7,,88.55
2712,2024-11-13,5,,
2848,2024-12-07,3,,55.28
2831,2025-12-02,2,9.0,
89,2025-12-05,11,1.0,46.97
2714,2025-12-03,4,9.0,74.12
2304,2024-11-08,4,,34.21
714,2025-10-24,9,10.0,
3854,2025-09-23,12,,88.39
2859,2024-12-23,9,9.0,
1960,2025-09-18,3,8.0,70.29
710,2024-06-25,1,3.0,
1388,2025-09-01,10,,50.2
2888,2025-04-27,6,6.0,
3636,2025-05-26,10,,
3182,2024-11-06,10,,85.52
4896,2024-07-14,2,,
4717,2025-09-19,1,,
3246,2024-02-24,6,,
1368,2025-01-19,10,,
4870,2025-10-07,3,,25.37
3248,2025-11-26,10,,
2089,2024-08-02,10,,
1487,2025-07-21,1,,74.56
3227,2025-10-17,6,,
2234,2025-07-25,5,4.0,97.71
336,2025-04-06,8,,41.03
610,2024-12-02,9,3.0,75.95
1944,2025-11-14,8,,23.15
2128,2024-03-01,11,,51.65
4136,2024-08-08,10,3.0,76.64
226,2025-10-18,7,10.0,
1694,2025-08-17,3,,46.65
4872,2025-12-04,8,7.0,50.99
2495,2025-09-29,3,,19.8
1309,2025-01-15,3,,
4960,2024-01-02,2,,
1875,2025-12-02,3,3.0,
823,2024-10-29,1,4.0,83.17
3525,2025-11-27,7,,78.3
3800,2024-12-26,9,,
686,2025-11-27,6,2.0,
3441,2025-05-23,7,9.0,85.16
4498,2025-04-13,12,,20.14
3580,2024-12-26,9,4.0,29.48
4811,2024-06-01,2,,
1106,2025-11-30,7,9.0,7.25
3629,2025-01-29,4,,5.67
101,2025-02-17,3,9.0,
2371,2025-11-30,1,,16.44
3902,2025-03-21,12,,
3050,2025-11-03,6,,
2927,2024-06-06,3,,
4105,2024-08-19,3,9.0,88.87
1770,2025-08-19,5,2.0,71.62
1411,2025-11-18,5,6.0,
4476,2025-10-27,7,,
2450,2025-03-27,3,,83.5
777,2024-04-04,8,3.0,31.2
2579,2025-10-11,12,,
3078,2025-03-05,11,,38.68
2908,2025-12-04,10,,99.45
2973,2025-09-29,3,3.0,96.82
2394,2025-06-04,2,,23.57
1748,2024-08-25,11,,
133,2025-10-22,12,,60.33
170,2025-06-01,8,,7.48
4452,2025-06-12,6,10.0,75.44
2378,2024-01-19,10,,
359,2025-07-30,1,,63.42
3079,2024-11-07,1,,
3039,2025-05-05,12,,76.19
3672,2024-11-14,2,1.0,
266,2025-05-02,1,,
2166,2025-11-13,1,6.0,92.43
1248,2025-04-30,10,,42.34
4696,2025-01-25,12,,55.28
3222,2025-10-09,6,3.0,77.48
215,2025-08-10,4,,
3504,2025-07-18,3,,31.44
3329,2025-12-04,9,,
4423,2025-08-07,7,,
353,2025-04-04,6,,
719,2025-02-16,5,6.0,
300,2024-09-29,9,,24.37
2425,2025-11-08,3,,
1475,2025-12-06,11,8.0,70.64
1999,2025-10-19,2,,72.98
1475,2024-09-16,11,,
2566,2024-08-09,9,3.0,71.65
2289,2025-04-10,11,,45.96
22,2025-09-07,9,,66.82
867,2025-11-06,12,,
4187,2024-09-21,12,2.0,
3127,2025-11-25,3,,
3999,2025-04-12,3,,7.36
3832,2024-11-07,10,4.0,
2036,2025-07-08,8,,40.26
2482,2025-05-22,4,,27.13
488,2025-10-18,11,,
2113,2025-09-07,2,,84.05
3344,2025-02-13,7,,86.21
69,2024-09-14,1,,
2213,2025-04-23,9,10.0,
3370,2025-05-23,5,,6.04
3084,2025-07-05,6,,
2165,2025-11-09,2,,66.27
1033,2025-12-01,9,,
3476,2025-10-05,2,,
4784,2025-05-07,1,,
4256,2025-05-13,9,,2.08
222,2025-11-21,7,,68.78
4351,2025-09-21,7,9.0,77.19
1324,2025-11-08,7,8.0,
4692,2025-10-21,7,,
1175,2025-12-05,3,,
2337,2025-03-21,5,6.0,82.73
1190,2025-05-23,2,,
447,2025-09-03,10,,4.46
4076,2025-12-02,5,,54.87
2334,2025-07-29,6,1.0,65.89
4172,2025-07-31,2,,
3353,2025-08-30,11,,10.91
633,2025-01-18,3,,
4098,2025-12-01,4,10.0,
3376,2025-06-11,1,,
2915,2025-09-03,3,,95.5
4071,2025-10-07,2,,91.64
2519,2025-11-27,8,7.0,
1108,2024-10-31,12,,
4063,2025-05-30,12,,68.68
3461,2025-01-26,11,8.0,33.45
2087,2025-06-14,10,,66.91
1961,2025-09-21,6,,
4840,2024-11-21,2,6.0,
3639,2025-03-27,2,4.0,99.59
1933,2025-12-04,12,7.0,
1614,2025-04-18,1,,
3674,2025-11-16,7,1.0,9.54
3015,2025-12-04,3,2.0,
2913,2024-10-01,6,,
4518,2025-11-05,3,6.0,98.09
300,2024-09-27,2,,
1919,2025-12-06,12,,
253,2025-12-04,6,,1.08
1440,2025-06-04,10,6.0,96.73
4430,2024-09-21,12,,15.73
3579,2025-10-13,9,10.0,
205,2025-07-26,3,,
28,2025-11-25,7,,
449,2025-09-07,1,,
4796,2025-06-17,9,,
2805,2024-10-31,1,,
2370,2025-04-30,2,,
1747,2025-09-06,2,,
1427,2025-05-25,11,,17.02
4558,2025-10-01,12,1.0,97.94
2772,2025-11-02,11,,65.33
2931,2025-09-16,1,,61.76
3809,2025-01-20,10,,56.53
2063,2024-11-18,1,,
4461,2025-09-20,2,,
3373,2025-04-06,12,,88.32
4911,2024-10-21,9,,
4144,2025-09-28,1,,
4772,2025-12-06,2,9.0,
3853,2025-11-10,8,,
3610,2025-10-31,2,,
4945,2025-11-01,10,,12.35
3424,2024-09-19,8,,
3485,2025-12-06,2,,
3872,2025-07-26,1,,40.98
1287,2025-08-07,4,10.0,
2681,2025-11-21,5,,
2109,2025-09-03,5,6.0,
3992,2025-07-31,3,,
1332,2025-03-13,3,,
4662,2025-09-23,8,,11.14
601,2025-03-13,4,,41.4
2572,2025-02-06,8,,
3994,2025-07-06,11,,24.42
4505,2024-09-13,11,,95.78
4625,2025-10-09,6,,88.01
3863,2025-04-12,2,,52.69
4178,2025-11-16,8,,64.17
3449,2025-03-18,12,,9.69
1883,2024-04-18,2,9.0,
3186,2025-11-04,2,,
3667,2025-01-24,5,2.0,13.79
755,2025-11-08,2,,
3900,2025-09-20,5,,32.02
4411,2025-04-23,10,,
3640,2024-10-26,3,9.0,74.15
3538,2025-08-10,5,,
42,2025-06-04,5,,1.87
809,2024-12-04,12,,
2356,2025-08-28,9,,27.65
4003,2025-04-11,7,,28.18
1428,2025-04-02,11,,
878,2025-07-13,10,,
332,2025-08-06,7,,
4106,2025-05-28,1,,
4592,2025-09-25,8,4.0,
838,2025-11-06,11,,88.06
3719,2025-08-25,4,,73.56
261,2025-09-05,4,,
552,2025-10-27,9,1.0,
505,2025-11-02,12,,85.84
4292,2025-04-04,1,,
128,2025-02-23,1,,52.24
695,2025-02-08,12,7.0,
2835,2024-12-22,10,,87.66
2337,2025-12-05,5,,6.47
4409,2025-10-23,8,,89.67
2887,2025-11-30,3,,
1152,2025-05-31,1,,
4724,2024-05-23,4,,95.84
2575,2025-07-19,1,,47.79
3822,2024-08-06,7,,
4517,2025-07-27,3,,63.52
3240,2024-12-04,1,,95.31
3020,2024-11-05,3,,62.72
1169,2024-08-29,6,,
2160,2025-04-17,12,,49.99
3740,2024-12-02,5,5.0,77.16
4505,2025-11-04,1,,
4906,2025-02-28,5,,
4176,2025-12-05,5,,
3426,2025-11-04,3,4.0,50.71
4219,2025-07-18,7,,
382,2025-08-22,10,,5.49
1224,2024-06-19,9,,91.66
465,2024-07-18,4,,75.52
2392,2025-05-10,12,,
2538,2024-09-05,5,,30.89
2792,2025-11-20,3,1.0,
266,2025-07-18,9,,
4207,2025-11-04,10,,
827,2024-10-16,3,,
3232,2025-09-26,11,,22.62
802,2025-03-05,9,,6.17
3286,2025-05-12,8,,
1620,2025-11-24,12,1.0,1.44
4207,2025-11-09,9,8.0,95.54
1785,2025-10-20,7,,51.27
3745,2025-08-23,9,,10.27
1285,2025-11-08,12,,
3858,2025-07-04,4,,21.98
1568,2025-11-08,10,,53.88
1305,2025-11-12,12,,
4783,2025-12-01,11,7.0,
3481,2025-07-08,11,,11.37
3330,2025-11-08,3,,
2675,2025-09-26,2,1.0,63.57
3988,2024-05-14,5,,
592,2025-11-27,6,5.0,
3764,2025-10-03,6,,
2954,2025-08-21,8,2.0,72.96
665,2024-05-14,2,6.0,
3954,2025-07-02,12,,30.13
3211,2025-09-15,6,7.0,31.06
4407,2025-02-04,5,,
3872,2025-11-28,10,,
93,2025-10-03,2,,49.67
1273,2025-10-09,4,3.0,
43,2025-11-28,3,1.0,
3081,2024-12-16,9,5.0,53.81
1915,2024-04-09,6,,
2276,2024-02-12,4,,77.95
4507,2025-04-14,9,,
99,2025-10-23,6,2.0,
4662,2025-08-20,8,,93.24
1109,2025-10-20,6,,77.72
75,2025-08-28,9,,
4956,2025-09-15,2,,
1747,2025-09-19,10,,
4721,2024-09-13,3,,
4788,2025-09-04,8,,
4418,2024-10-21,9,10.0,
844,2025-08-19,4,,4.86
719,2024-09-29,1,7.0,
4919,2025-05-01,7,,
2773,2025-05-06,9,7.0,
4431,2025-12-02,5,,47.3
3004,2025-09-27,12,,
3596,2025-11-17,5,5.0,
4943,2024-09-30,9,,34.96
1772,2025-10-30,3,,
507,2025-05-26,6,,73.92
877,2025-10-27,12,8.0,50.81
4871,2024-12-11,4,3.0,
102,2025-11-22,3,,
4592,2025-08-05,3,6.0,
1016,2025-04-26,8,,
3295,2025-11-30,3,2.0,
3842,2025-09-03,5,7.0,86.5
18,2025-10-21,3,,37.17
3712,2025-08-14,8,8.0,65.7
4188,2025-10-10,12,1.0,70.54
4813,2025-04-10,7,,90.73
438,2025-01-24,1,,
4495,2024-12-17,5,,
4213,2025-08-27,11,,43.28
4548,2025-05-12,7,,
3933,2025-09-02,2,,20.11
1438,2025-01-01,6,10.0,92.05
784,2025-09-15,2,1.0,48.73
2914,2025-09-11,8,,
4480,2024-08-02,9,,41.45
4965,2025-09-12,11,10.0,
2012,2024-07-03,4,,6.6
4025,2025-06-20,2,,67.73
2755,2025-11-13,8,,29.82
585,2025-02-28,5,,96.84
2360,2025-06-22,8,,91.45
1262,2025-08-26,3,8.0,
2619,2025-11-29,2,,92.62
1515,2025-08-16,7,,
4262,2025-07-01,3,,
193,2025-07-19,2,7.0,
4702,2025-11-19,3,7.0,56.52
3730,2025-11-08,12,,
2807,2025-06-29,1,,
