account_id,product,start_date,end_date,mrr,quantity,units,bill_period_months,discount
4524,Standard,2024-04-03,,25.4915,3,seats,1,0.15
55,Enterprise,2024-11-23,2025-09-12,89.991,5,users,1,0.1
4268,Standard,2025-02-07,,23.992,5,seats,12,0.2
3641,Enterprise,2025-03-12,2025-05-22,99.99,5,licenses,12,0.0
955,Premium,2025-04-23,,49.99,1,licenses,1,0.0
2748,Premium,2024-03-01,,39.992000000000004,1,licenses,12,0.2
2579,Basic,2025-08-26,,7.4925,3,users,12,0.25
1560,Basic,2025-03-30,2025-10-09,7.4925,1,licenses,1,0.25
1603,Premium,2025-07-04,,49.99,5,users,12,0.0
2316,Standard,2024-02-25,,25.4915,5,licenses,3,0.15
1755,Basic,2025-09-29,,8.4915,1,licenses,12,0.15
1460,Basic,2024-01-02,,8.991,5,licenses,12,0.1
1923,Premium,2024-06-11,,49.99,1,seats,12,0.0
2394,Enterprise,2024-03-01,,99.99,3,users,12,0.0
2421,Basic,2025-08-13,,7.4925,1,users,3,0.25
3664,Premium,2024-01-28,,49.99,2,users,3,0.0
931,Premium,2023-12-16,2024-08-20,37.4925,2,licenses,12,0.25
3376,Standard,2025-02-12,,29.99,2,seats,1,0.0
4607,Premium,2024-01-15,,44.991,2,users,6,0.1
3266,Premium,2025-03-07,,49.99,1,licenses,1,0.0
374,Premium,2024-10-13,2025-01-07,42.4915,1,licenses,12,0.15
904,Premium,2024-03-27,,39.992000000000004,1,users,3,0.2
740,Premium,2024-05-19,2024-06-14,42.4915,1,users,6,0.15
4387,Standard,2024-06-06,,23.992,1,users,3,0.2
1323,Premium,2024-10-09,2025-02-14,49.99,1,seats,6,0.0
4314,Basic,2024-07-28,2024-12-20,9.99,1,seats,12,0.0
2026,Basic,2025-08-02,,8.991,5,users,6,0.1
1075,Premium,2025-09-19,2026-09-15,37.4925,5,users,1,0.25
166,Basic,2025-08-31,,7.4925,2,seats,3,0.25
4962,Premium,2024-09-27,,49.99,1,users,6,0.0
3760,Standard,2025-03-11,,25.4915,2,users,1,0.15
2386,Enterprise,2025-04-23,,84.99149999999999,1,users,1,0.15
2330,Standard,2025-11-19,,23.992,2,users,12,0.2
4478,Basic,2025-04-21,,9.99,2,seats,12,0.0
3663,Premium,2024-05-09,2024-10-16,49.99,1,licenses,12,0.0
686,Basic,2025-05-08,,8.991,3,seats,3,0.1
688,Standard,2024-03-15,,25.4915,5,licenses,12,0.15
1905,Basic,2025-03-23,,7.992000000000001,1,seats,12,0.2
300,Premium,2025-12-01,,49.99,3,users,12,0.0
4470,Enterprise,2024-02-08,2024-10-02,79.992,2,licenses,6,0.2
4545,Basic,2024-09-27,,8.991,1,seats,1,0.1
1328,Basic,2025-05-18,,9.99,1,users,3,0.0
4057,Standard,2025-07-16,,25.4915,2,users,12,0.15
76,Premium,2024-09-17,,39.992000000000004,5,users,1,0.2
4281,Premium,2024-05-08,,49.99,1,licenses,6,0.0
1675,Premium,2024-08-10,,49.99,5,licenses,6,0.0
1109,Standard,2025-11-26,,29.99,1,users,12,0.0
550,Basic,2023-12-19,2024-12-09,9.99,3,users,6,0.0
2712,Basic,2024-03-07,,9.99,1,users,1,0.0
4581,Standard,2024-03-03,2024-06-10,29.99,1,users,6,0.0
4788,Premium,2024-03-07,,49.99,3,licenses,6,0.0
1660,Basic,2025-08-23,,9.99,1,users,3,0.0
4618,Basic,2024-06-20,,7.4925,2,users,3,0.25
4716,Premium,2025-05-06,2025-09-02,49.99,1,licenses,12,0.0
1201,Standard,2024-08-07,,29.99,1,seats,3,0.0
1123,Enterprise,2024-01-26,,99.99,3,seats,12,0.0
1973,Enterprise,2024-11-07,,99.99,1,licenses,12,0.0
2597,Basic,2025-06-19,,7.4925,1,licenses,3,0.25
1171,Enterprise,2024-07-23,,99.99,5,seats,12,0.0
4571,Enterprise,2025-06-07,2025-12-12,74.99249999999999,2,licenses,6,0.25
2835,Enterprise,2024-03-15,,99.99,2,users,3,0.0
1467,Basic,2024-09-10,,9.99,1,licenses,3,0.0
2543,Premium,2024-11-24,,42.4915,1,licenses,1,0.15
2237,Basic,2024-02-18,,9.99,5,licenses,6,0.0
2073,Premium,2024-04-30,,37.4925,5,users,1,0.25
4978,Enterprise,2025-06-12,,74.99249999999999,5,licenses,12,0.25
852,Basic,2025-11-07,,7.992000000000001,1,licenses,6,0.2
1450,Standard,2024-10-03,,29.99,1,users,1,0.0
511,Premium,2024-05-28,,37.4925,1,licenses,1,0.25
137,Premium,2023-12-11,2024-10-07,39.992000000000004,1,licenses,6,0.2
117,Enterprise,2024-01-23,,99.99,1,licenses,12,0.0
1209,Premium,2025-06-13,,49.99,3,seats,1,0.0
4141,Enterprise,2024-02-25,,74.99249999999999,1,users,3,0.25
2243,Premium,2024-12-22,,37.4925,5,seats,1,0.25
4639,Enterprise,2025-08-09,,99.99,5,seats,1,0.0
1521,Premium,2025-06-16,,49.99,5,users,1,0.0
3772,Basic,2025-01-25,,7.992000000000001,1,licenses,3,0.2
1088,Premium,2024-11-13,,49.99,1,seats,1,0.0
4629,Premium,2025-04-19,,49.99,1,seats,12,0.0
2417,Premium,2025-03-11,2025-09-09,42.4915,1,users,12,0.15
4285,Enterprise,2025-10-30,,84.99149999999999,2,seats,3,0.15
4407,Standard,2024-12-16,,23.992,1,seats,12,0.2
2804,Premium,2024-06-29,,49.99,1,users,1,0.0
2137,Basic,2024-06-25,,9.99,2,seats,1,0.0
3828,Premium,2024-05-08,,42.4915,1,users,6,0.15
857,Premium,2025-06-27,,49.99,1,licenses,1,0.0
821,Standard,2025-01-27,2025-11-03,29.99,1,users,6,0.0
3740,Enterprise,2024-08-09,,99.99,5,users,12,0.0
4923,Premium,2024-01-12,,49.99,1,licenses,12,0.0
884,Enterprise,2025-03-06,,89.991,3,seats,12,0.1
1344,Standard,2024-04-04,,25.4915,1,licenses,6,0.15
1144,Standard,2025-10-12,,29.99,1,users,6,0.0
3758,Enterprise,2024-08-22,2024-11-06,99.99,1,users,3,0.0
2520,Basic,2025-04-09,,8.991,1,licenses,3,0.1
2005,Standard,2025-12-01,,29.99,1,users,6,0.0
4505,Enterprise,2024-08-10,,74.99249999999999,2,licenses,3,0.25
1989,Basic,2025-07-28,,9.99,2,users,12,0.0
2320,Enterprise,2024-06-08,2025-02-14,79.992,5,licenses,12,0.2
221,Standard,2025-04-10,,29.99,3,seats,3,0.0
4909,Enterprise,2024-02-14,2024-10-27,99.99,1,seats,1,0.0
2474,Enterprise,2024-12-24,,99.99,2,seats,1,0.0
2335,Premium,2024-01-15,,49.99,1,users,12,0.0
1471,Standard,2024-01-08,,29.99,2,seats,12,0.0
2837,Basic,2025-11-24,2026-01-29,8.4915,3,users,12,0.15
3725,Basic,2024-02-06,,8.991,2,seats,12,0.1
2482,Enterprise,2024-02-26,2024-10-14,84.99149999999999,1,users,6,0.15
2745,Premium,2025-06-06,,42.4915,2,licenses,1,0.15
656,Standard,2024-12-26,,23.992,3,users,1,0.2
1619,Enterprise,2025-10-18,,99.99,1,users,12,0.0
3771,Premium,2024-04-02,,49.99,2,users,1,0.0
2427,Basic,2025-06-06,,8.991,1,users,6,0.1
2660,Premium,2024-04-05,2024-04-24,42.4915,5,users,1,0.15
2037,Standard,2024-06-07,2024-08-21,23.992,2,users,1,0.2
2251,Premium,2024-01-01,,37.4925,5,licenses,12,0.25
4662,Enterprise,2025-09-19,,99.99,1,licenses,1,0.0
829,Enterprise,2024-12-26,,79.992,1,users,1,0.2
3283,Basic,2025-03-18,,7.992000000000001,1,users,3,0.2
954,Standard,2025-01-30,,25.4915,1,licenses,6,0.15
401,Premium,2025-04-30,,44.991,1,licenses,12,0.1
1522,Premium,2024-03-27,,49.99,5,users,1,0.0
2234,Basic,2025-05-08,2025-12-07,7.992000000000001,1,users,12,0.2
2188,Enterprise,2025-08-29,2025-09-08,79.992,1,seats,6,0.2
523,Premium,2024-04-13,,42.4915,1,licenses,12,0.15
3188,Enterprise,2024-12-20,,99.99,2,seats,1,0.0
3785,Enterprise,2024-06-09,,79.992,2,users,3,0.2
3301,Basic,2024-02-29,,9.99,1,seats,1,0.0
4339,Premium,2025-02-11,,44.991,5,users,6,0.1
243,Standard,2024-03-07,,26.991,2,seats,3,0.1
2326,Enterprise,2024-11-17,,99.99,2,licenses,3,0.0
1012,Basic,2025-04-27,2025-06-23,8.4915,1,seats,12,0.15
1304,Enterprise,2024-12-11,,89.991,3,users,12,0.1
2617,Premium,2024-01-26,,39.992000000000004,5,users,1,0.2
4115,Enterprise,2024-10-19,,89.991,1,users,3,0.1
1286,Standard,2025-02-14,2025-08-05,22.4925,2,licenses,12,0.25
1412,Basic,2024-04-21,,8.991,2,seats,12,0.1
238,Standard,2024-03-22,,29.99,3,licenses,3,0.0
3349,Basic,2024-03-22,2025-01-08,7.992000000000001,2,licenses,6,0.2
746,Premium,2024-03-31,,39.992000000000004,2,licenses,1,0.2
4189,Standard,2024-08-25,,22.4925,1,seats,3,0.25
3869,Standard,2025-07-24,,29.99,1,licenses,6,0.0
3778,Enterprise,2024-01-06,,99.99,1,users,3,0.0
4098,Basic,2025-06-26,2025-08-01,9.99,5,seats,6,0.0
3329,Enterprise,2025-09-25,,99.99,5,licenses,12,0.0
992,Basic,2024-08-01,,9.99,1,users,12,0.0
327,Premium,2024-07-01,,44.991,2,seats,12,0.1
849,Standard,2024-04-22,,29.99,5,seats,6,0.0
3003,Enterprise,2025-07-14,,74.99249999999999,2,seats,6,0.25
2167,Basic,2024-02-18,,8.991,5,users,6,0.1
2005,Premium,2025-02-07,,49.99,2,licenses,6,0.0
2113,Premium,2025-07-16,2025-12-11,49.99,1,users,1,0.0
4617,Premium,2025-01-26,,49.99,3,licenses,6,0.0
2497,Enterprise,2024-01-17,,79.992,5,seats,12,0.2
1201,Premium,2025-03-18,,49.99,1,licenses,12,0.0
2482,Standard,2025-03-16,,25.4915,5,licenses,1,0.15
3325,Enterprise,2024-12-19,,84.99149999999999,3,users,3,0.15
4288,Premium,2024-07-28,,37.4925,3,users,12,0.25
1437,Enterprise,2025-11-22,,99.99,1,seats,12,0.0
2534,Standard,2025-07-06,,22.4925,5,seats,3,0.25
1614,Premium,2024-08-23,,39.992000000000004,1,licenses,12,0.2
4294,Standard,2024-11-29,,26.991,5,seats,3,0.1
2700,Basic,2024-05-19,,7.4925,5,licenses,6,0.25
651,Basic,2024-05-05,,9.99,1,licenses,12,0.0
1497,Standard,2023-12-31,,29.99,1,licenses,3,0.0
2178,Premium,2025-05-26,,49.99,1,licenses,1,0.0
2481,Basic,2025-04-17,2026-02-09,8.991,2,seats,3,0.1
4399,Basic,2024-02-26,2024-10-28,9.99,2,seats,6,0.0
3900,Standard,2024-05-30,,25.4915,2,users,1,0.15
4664,Basic,2025-08-14,,8.991,5,seats,12,0.1
4825,Enterprise,2025-03-24,,84.99149999999999,1,users,1,0.15
1447,Premium,2024-06-28,,39.992000000000004,1,users,12,0.2
4360,Standard,2025-02-28,,25.4915,1,licenses,6,0.15
3605,Basic,2024-07-25,2025-04-12,8.991,2,seats,3,0.1
1465,Basic,2024-01-17,,7.4925,2,users,12,0.25
4413,Standard,2025-08-17,,29.99,1,licenses,3,0.0
2502,Premium,2025-08-23,,42.4915,1,licenses,12,0.15
1267,Premium,2025-05-24,,37.4925,1,seats,3,0.25
4999,Standard,2024-06-26,,23.992,3,users,6,0.2
2207,Standard,2024-08-10,,22.4925,1,users,6,0.25
1188,Premium,2024-12-09,,49.99,2,users,6,0.0
3485,Enterprise,2025-12-01,,89.991,1,users,12,0.1
2897,Standard,2025-03-01,2026-02-25,29.99,1,licenses,12,0.0
2097,Premium,2025-11-12,,37.4925,2,users,6,0.25
4572,Standard,2024-03-14,,22.4925,1,seats,3,0.25
610,Standard,2025-01-07,,23.992,3,users,3,0.2
377,Enterprise,2025-03-26,,84.99149999999999,3,users,12,0.15
486,Basic,2024-02-21,,8.4915,1,users,1,0.15
2329,Basic,2025-07-22,,9.99,1,licenses,12,0.0
3390,Standard,2024-04-12,,29.99,3,seats,3,0.0
3591,Standard,2024-04-29,,23.992,1,licenses,6,0.2
4351,Premium,2025-07-16,,49.99,5,licenses,1,0.0
2572,Premium,2025-05-01,2025-12-27,49.99,2,users,12,0.0
2729,Standard,2025-03-20,,29.99,1,seats,6,0.0
3366,Enterprise,2024-07-26,,74.99249999999999,3,seats,12,0.25
4197,Premium,2024-05-06,,49.99,3,users,1,0.0
4414,Enterprise,2024-04-27,,99.99,5,seats,6,0.0
4631,Basic,2024-06-10,2025-02-28,7.4925,1,licenses,1,0.25
3838,Standard,2024-01-06,,29.99,2,users,1,0.0
1247,Premium,2025-06-03,,49.99,2,licenses,1,0.0
3543,Basic,2024-04-27,,8.4915,2,seats,12,0.15
70,Standard,2024-09-25,2025-01-18,25.4915,5,users,6,0.15
4362,Enterprise,2024-04-27,,79.992,3,seats,3,0.2
1548,Standard,2025-01-25,2025-02-08,25.4915,3,seats,3,0.15
1044,Premium,2025-01-05,,49.99,5,seats,1,0.0
1653,Premium,2024-09-28,,49.99,1,users,3,0.0
224,Standard,2025-08-02,,26.991,1,users,12,0.1
1709,Enterprise,2024-09-05,,99.99,1,users,1,0.0
4836,Basic,2025-06-10,,8.4915,5,licenses,1,0.15
997,Standard,2025-08-05,,23.992,3,users,3,0.2
2596,Enterprise,2025-05-05,,74.99249999999999,3,users,3,0.25
3916,Premium,2024-08-26,2025-03-09,37.4925,2,users,1,0.25
820,Premium,2025-01-23,,44.991,5,users,6,0.1
1879,Basic,2024-08-11,2024-12-30,7.992000000000001,5,users,12,0.2
372,Standard,2025-06-08,,29.99,3,seats,3,0.0
1149,Enterprise,2025-10-05,,99.99,5,licenses,1,0.0
2401,Premium,2025-06-28,,49.99,3,seats,12,0.0
1488,Premium,2025-06-23,2025-10-06,49.99,2,licenses,1,0.0
3058,Premium,2025-11-07,,49.99,1,users,6,0.0
281,Standard,2025-10-20,,22.4925,3,licenses,12,0.25
4303,Standard,2025-08-26,2025-12-19,29.99,2,seats,3,0.0
921,Enterprise,2024-10-07,,84.99149999999999,2,seats,12,0.15
4942,Basic,2024-08-06,,9.99,1,users,6,0.0
4424,Premium,2024-08-04,,37.4925,3,seats,1,0.25
1031,Standard,2025-07-13,2025-08-25,23.992,1,licenses,3,0.2
3309,Premium,2025-03-26,2025-06-29,39.992000000000004,5,users,1,0.2
2693,Enterprise,2025-07-25,,99.99,5,seats,6,0.0
4747,Basic,2024-02-28,2024-06-09,9.99,1,seats,12,0.0
280,Standard,2024-10-26,,25.4915,2,users,3,0.15
2818,Standard,2024-08-31,,26.991,3,users,12,0.1
4472,Enterprise,2025-02-23,,84.99149999999999,1,users,1,0.15
1527,Premium,2024-07-25,,44.991,5,seats,6,0.1
2805,Premium,2024-11-27,,49.99,3,seats,1,0.0
775,Standard,2025-08-15,2026-08-15,29.99,1,users,12,0.0
2516,Enterprise,2024-05-19,,99.99,3,seats,12,0.0
3257,Standard,2024-01-10,2024-01-19,29.99,5,licenses,3,0.0
2900,Standard,2024-06-09,,29.99,5,licenses,1,0.0
1367,Premium,2025-08-26,,39.992000000000004,5,licenses,3,0.2
1854,Standard,2025-05-13,,26.991,1,users,12,0.1
4275,Enterprise,2024-08-14,,79.992,1,seats,12,0.2
614,Premium,2025-05-07,,42.4915,3,seats,6,0.15
486,Enterprise,2025-07-12,,99.99,1,users,3,0.0
1307,Enterprise,2024-04-10,2024-10-07,99.99,1,users,12,0.0
1151,Enterprise,2024-04-16,,99.99,1,users,1,0.0
1167,Premium,2025-11-25,,42.4915,1,licenses,6,0.15
841,Enterprise,2024-01-30,,74.99249999999999,1,licenses,3,0.25
4998,Enterprise,2025-09-25,,74.99249999999999,5,users,3,0.25
2230,Basic,2025-03-20,2025-11-14,8.991,3,seats,12,0.1
3992,Premium,2024-06-19,2025-04-24,42.4915,1,seats,3,0.15
4052,Enterprise,2025-10-09,,74.99249999999999,1,licenses,12,0.25
2260,Premium,2024-10-03,,49.99,1,seats,6,0.0
106,Basic,2025-04-02,,9.99,3,users,12,0.0
2178,Basic,2024-05-11,,8.4915,2,licenses,12,0.15
4252,Enterprise,2024-03-30,2025-02-23,99.99,3,seats,1,0.0
963,Standard,2024-04-21,,25.4915,2,users,6,0.15
327,Premium,2024-08-22,,42.4915,1,users,12,0.15
3538,Basic,2024-05-05,2025-03-24,9.99,1,users,3,0.0
3377,Basic,2025-03-22,,7.992000000000001,1,users,12,0.2
2038,Premium,2025-10-19,,39.992000000000004,5,users,12,0.2
1316,Standard,2024-10-22,,22.4925,1,users,6,0.25
729,Premium,2024-03-15,,37.4925,1,users,6,0.25
2506,Basic,2024-02-21,,8.4915,2,licenses,1,0.15
1526,Enterprise,2025-03-10,,89.991,1,users,3,0.1
3587,Premium,2025-06-17,,49.99,1,licenses,3,0.0
2544,Premium,2024-10-25,,49.99,1,seats,3,0.0
742,Enterprise,2025-07-10,,84.99149999999999,1,users,6,0.15
1090,Enterprise,2025-02-09,,99.99,1,seats,1,0.0
3626,Basic,2024-05-24,2024-10-12,9.99,2,seats,3,0.0
1794,Standard,2024-09-12,,29.99,1,seats,3,0.0
2432,Standard,2024-03-20,,26.991,2,licenses,1,0.1
4516,Standard,2025-05-30,,25.4915,2,licenses,12,0.15
4715,Enterprise,2023-12-14,,99.99,1,users,6,0.0
3033,Premium,2025-01-13,,49.99,5,seats,3,0.0
2636,Standard,2025-08-30,,22.4925,3,licenses,3,0.25
3898,Premium,2024-03-28,2024-09-23,39.992000000000004,5,licenses,1,0.2
4539,Standard,2025-03-06,,29.99,2,licenses,12,0.0
3588,Enterprise,2025-10-01,,99.99,1,licenses,12,0.0
3674,Basic,2024-08-05,,9.99,1,licenses,6,0.0
2904,Basic,2024-05-02,,7.992000000000001,1,licenses,6,0.2
4897,Enterprise,2023-12-16,,99.99,2,seats,12,0.0
3704,Premium,2025-01-02,2025-09-20,44.991,1,licenses,6,0.1
4808,Premium,2024-03-22,2024-09-22,42.4915,1,seats,1,0.15
522,Enterprise,2025-05-21,2026-03-25,74.99249999999999,1,seats,3,0.25
242,Enterprise,2025-01-01,2025-07-27,84.99149999999999,5,licenses,1,0.15
3174,Enterprise,2023-12-24,,74.99249999999999,1,seats,12,0.25
786,Premium,2025-06-08,,49.99,2,seats,6,0.0
1512,Premium,2025-05-15,2026-04-12,39.992000000000004,1,users,12,0.2
3701,Basic,2025-11-16,,9.99,3,seats,6,0.0
3057,Basic,2025-12-05,,8.4915,1,seats,3,0.15
2678,Enterprise,2025-11-08,,84.99149999999999,3,users,6,0.15
569,Standard,2024-02-24,,29.99,3,seats,3,0.0
2829,Basic,2024-04-01,,9.99,2,licenses,3,0.0
1455,Standard,2025-11-05,,25.4915,1,users,12,0.15
2388,Basic,2024-01-07,2024-09-29,9.99,1,users,6,0.0
1583,Standard,2024-08-28,,25.4915,2,users,6,0.15
954,Basic,2025-03-29,,9.99,2,seats,6,0.0
3312,Basic,2025-10-07,,8.991,5,licenses,6,0.1
4843,Basic,2024-01-27,,8.4915,3,licenses,1,0.15
4358,Enterprise,2025-02-20,,89.991,1,users,3,0.1
3493,Enterprise,2024-11-15,2024-11-28,89.991,1,users,12,0.1
4598,Enterprise,2025-01-27,,74.99249999999999,1,licenses,12,0.25
452,Basic,2025-09-06,,8.4915,5,licenses,3,0.15
4447,Standard,2025-10-18,,29.99,1,users,6,0.0
1543,Premium,2024-01-06,,39.992000000000004,3,licenses,1,0.2
1461,Premium,2025-05-01,2025-08-05,49.99,5,users,1,0.0
598,Standard,2025-05-09,,25.4915,1,seats,12,0.15
3126,Standard,2025-02-12,2025-06-16,23.992,1,seats,1,0.2
3195,Standard,2024-10-21,2025-01-02,25.4915,1,licenses,6,0.15
2116,Enterprise,2025-05-11,,79.992,5,users,6,0.2
3353,Basic,2024-10-09,,7.4925,1,users,12,0.25
2077,Basic,2025-10-25,,8.991,1,licenses,12,0.1
1827,Basic,2025-08-10,2026-04-18,9.99,1,licenses,1,0.0
2682,Standard,2024-01-09,,23.992,2,users,6,0.2
4394,Premium,2024-05-02,,37.4925,1,users,6,0.25
1656,Basic,2025-05-15,2025-06-03,8.991,2,seats,12,0.1
913,Standard,2024-11-04,2025-10-26,22.4925,1,seats,1,0.25
3572,Premium,2025-07-13,,37.4925,1,licenses,12,0.25
4126,Standard,2025-01-15,2025-01-23,29.99,1,users,3,0.0
1438,Premium,2025-05-15,,49.99,2,users,12,0.0
1255,Premium,2025-04-20,2025-07-29,49.99,5,licenses,1,0.0
3596,Basic,2025-09-26,,8.4915,3,users,12,0.15
4562,Standard,2024-05-25,,29.99,1,licenses,3,0.0
534,Enterprise,2024-03-13,,79.992,1,users,1,0.2
315,Standard,2024-01-06,2024-07-20,29.99,3,seats,1,0.0
3175,Basic,2024-03-03,2024-12-08,9.99,1,licenses,3,0.0
3903,Enterprise,2024-01-04,,89.991,5,seats,6,0.1
4019,Premium,2024-02-24,,49.99,2,licenses,6,0.0
2951,Standard,2025-02-16,,29.99,2,users,3,0.0
1314,Premium,2024-09-20,,49.99,1,users,1,0.0
3362,Standard,2025-07-31,,29.99,1,users,12,0.0
3450,Enterprise,2024-08-30,,89.991,2,users,12,0.1
2768,Premium,2025-07-23,,49.99,1,seats,12,0.0
1565,Standard,2024-08-19,,22.4925,2,users,6,0.25
2515,Standard,2025-07-15,,25.4915,5,users,12,0.15
2461,Enterprise,2025-05-16,2026-02-23,99.99,5,users,1,0.0
4240,Enterprise,2024-09-09,2024-12-24,89.991,3,licenses,3,0.1
1412,Premium,2024-02-19,,37.4925,1,seats,3,0.25
3370,Premium,2025-03-30,,49.99,2,users,12,0.0
4347,Basic,2025-10-01,2025-10-06,7.4925,1,users,1,0.25
737,Premium,2025-05-13,,49.99,1,seats,6,0.0
2974,Premium,2024-08-07,,49.99,1,users,12,0.0
832,Standard,2025-06-22,,25.4915,3,users,3,0.15
1297,Enterprise,2023-12-31,,99.99,1,licenses,6,0.0
1202,Enterprise,2025-10-27,2026-05-11,89.991,2,users,1,0.1
1397,Basic,2024-09-11,,9.99,2,seats,6,0.0
4029,Premium,2025-09-10,,49.99,1,seats,6,0.0
2459,Enterprise,2025-08-15,,74.99249999999999,5,seats,3,0.25
2628,Premium,2024-12-08,,37.4925,2,seats,1,0.25
4836,Enterprise,2024-11-28,,99.99,3,users,3,0.0
4264,Basic,2025-01-14,,9.99,5,seats,12,0.0
2512,Premium,2024-09-19,,49.99,5,licenses,12,0.0
3753,Basic,2024-05-21,2025-04-06,9.99,5,licenses,6,0.0
158,Premium,2025-05-16,,44.991,2,seats,12,0.1
2215,Enterprise,2024-11-26,,74.99249999999999,2,users,6,0.25
